stage,step,objective,isometry_loss,bending_loss,metric_feasible
isometry,0,0.13035279053504462,0.13035279053504462,4.65922375320696e-10,True
isometry,20,0.040176369327617555,0.040176369327617555,1.9073038605909464e-07,True
isometry,40,0.03158279209796634,0.03158279209796634,3.3061109771164216e-06,True
isometry,60,0.026949077012299205,0.026949077012299205,0.00015012547659830377,True
isometry,80,0.019378105156234476,0.019378105156234476,0.0004275870115074929,True
isometry,100,0.018173531778216956,0.018173531778216956,0.000699089926373523,True
isometry,120,0.017553696243410737,0.017553696243410737,0.000986990690454599,True
isometry,140,0.01671257996531696,0.01671257996531696,0.0009826274563083034,True
isometry,160,0.01573382221486102,0.01573382221486102,0.0010790056127609757,True
isometry,180,0.01692562179147164,0.01692562179147164,0.0011114272854810961,True
isometry,200,0.01511479120055282,0.01511479120055282,0.0014740586378276677,True
isometry,220,0.014677983169516476,0.014677983169516476,0.001556977333596152,True
isometry,240,0.013550212427357412,0.013550212427357412,0.0017392283037116973,True
isometry,260,0.031446629384653965,0.031446629384653965,0.0012750204812742277,True
isometry,280,0.013204777155922533,0.013204777155922533,0.0016642535200127946,True
isometry,300,0.011774208437773635,0.011774208437773635,0.0022033719633581966,True
isometry,320,0.011074442696890844,0.011074442696890844,0.002620714105151174,True
isometry,340,0.010728774208117435,0.010728774208117435,0.0026077397835078033,True
isometry,360,0.010521931645052014,0.010521931645052014,0.002608604843023552,True
isometry,380,0.010299637421512775,0.010299637421512775,0.00260658282161653,True
isometry,400,0.010651122618329973,0.010651122618329973,0.0023088631290107873,True
isometry,420,0.010044099311952697,0.010044099311952697,0.0027610619325272056,True
isometry,440,0.009714089841635826,0.009714089841635826,0.002768383180882462,True
isometry,460,0.009564730660620597,0.009564730660620597,0.00283047308544011,True
isometry,480,0.009457959484105915,0.009457959484105915,0.002839510975084027,True
isometry,500,0.009357532260832737,0.009357532260832737,0.002818019591682039,True
isometry,520,0.009255176069943818,0.009255176069943818,0.0028141871547314743,True
isometry,540,0.013057256377750263,0.013057256377750263,0.0027885696600311637,True
isometry,560,0.010363911349699072,0.010363911349699072,0.0025297852901094036,True
isometry,580,0.009181398121006181,0.009181398121006181,0.002841205167015452,True
isometry,600,0.00905013980484106,0.00905013980484106,0.002890694062695184,True
isometry,620,0.008903144457565845,0.008903144457565845,0.0029401409242780594,True
isometry,640,0.008767825137176014,0.008767825137176014,0.002969616313948462,True
isometry,660,0.008622548195236666,0.008622548195236666,0.0030134016336236533,True
isometry,680,0.00981912239011833,0.00981912239011833,0.0030746779354191155,True
isometry,700,0.00851949945018663,0.00851949945018663,0.0029437102380338587,True
isometry,720,0.014559448414529353,0.014559448414529353,0.003189399603347323,True
isometry,740,0.010333539237137564,0.010333539237137564,0.002912867917946294,True
isometry,760,0.008658681468322896,0.008658681468322896,0.002964891478026052,True
isometry,780,0.008243519194955164,0.008243519194955164,0.0031756414893247707,True
isometry,800,0.008089764107749267,0.008089764107749267,0.0032172467829211767,True
isometry,820,0.007961843863852097,0.007961843863852097,0.0032809137700201517,True
isometry,840,0.007846779560820406,0.007846779560820406,0.0033513951122508432,True
isometry,860,0.011194398459160385,0.011194398459160385,0.0033998108774270326,True
isometry,880,0.008185063302808555,0.008185063302808555,0.003258302577924408,True
isometry,900,0.007755021405242846,0.007755021405242846,0.0034049441163141246,True
isometry,920,0.007605042330817612,0.007605042330817612,0.0035200987123637077,True
isometry,940,0.0074983079462445975,0.0074983079462445975,0.003602549101492458,True
isometry,960,0.00788872393262511,0.00788872393262511,0.003512757730764351,True
isometry,980,0.007884029146030954,0.007884029146030954,0.0035975362755257304,True
isometry,1000,0.007367672661401729,0.007367672661401729,0.0036826596589147205,True
isometry,1020,0.007275028680030625,0.007275028680030625,0.003762497158650526,True
isometry,1040,0.0102531900863592,0.0102531900863592,0.003584290339552208,True
isometry,1060,0.007422037099608959,0.007422037099608959,0.003715430740351884,True
isometry,1080,0.0071111738188868135,0.0071111738188868135,0.0038553260282080597,True
isometry,1100,0.007026946444342019,0.007026946444342019,0.0039491029334342885,True
isometry,1120,0.007154024697076036,0.007154024697076036,0.0038928044848704378,True
isometry,1140,0.007658369068615211,0.007658369068615211,0.0038273241629763195,True
isometry,1160,0.0069673167491147835,0.0069673167491147835,0.004011649740344974,True
isometry,1180,0.008306201992859074,0.008306201992859074,0.003979138317811798,True
isometry,1200,0.007327087682772578,0.007327087682772578,0.004177530398734205,True
isometry,1220,0.006830857842965405,0.006830857842965405,0.004212012986373908,True
isometry,1240,0.0068441999351854885,0.0068441999351854885,0.0042507078434416866,True
isometry,1260,0.00671765812944016,0.00671765812944016,0.004313449520713842,True
isometry,1280,0.006993448109898343,0.006993448109898343,0.004225624452214235,True
isometry,1300,0.0068712868791924175,0.0068712868791924175,0.0043427364431673126,True
isometry,1320,0.006598793567166892,0.006598793567166892,0.004445073327129153,True
isometry,1340,0.0066592559422452915,0.0066592559422452915,0.004486048965084958,True
isometry,1360,0.006816582210748637,0.006816582210748637,0.0044732527956775035,True
isometry,1380,0.007512643644523569,0.007512643644523569,0.004661900987076738,True
isometry,1399,0.006576401349883318,0.006576401349883318,0.004629106059341082,True
bending,0,0.005465184362053896,0.006514491371694738,0.004556093452962987,True
bending,20,8.19187865315663,0.008786841056820125,0.004377564510967472,False
bending,40,0.049171550904321626,0.0072850300911995215,0.003965224234505774,False
bending,60,0.005349843881207676,0.007096796782728307,0.004359492820666547,True
bending,80,4.272667188649337,0.008336216492126902,0.004233404125048243,False
bending,100,1.8591255457954305,0.007937265929089056,0.004277679378582504,False
bending,120,2.5283525700700022,0.008065752208540437,0.004461652161622348,False
bending,140,0.20653612952191525,0.007420068850899804,0.004276659541310221,False
bending,160,0.00544433125362776,0.006709977660171718,0.0045079604238851,True
bending,180,0.04213402143398463,0.0072746055107847695,0.004326893479739869,False
bending,200,0.005282380285547649,0.006798560156015606,0.004333647855016606,True
bending,220,0.005332020809895403,0.007074294859522923,0.004344809870762979,True
bending,240,0.005230310363595279,0.006871731747660753,0.0042713669089070256,True
bending,260,0.005081089729311919,0.006954977692681462,0.004110529384291162,True
bending,280,0.004955552433712854,0.007122991180063909,0.003961545970604093,True
bending,300,0.005285385035245014,0.006616313993385866,0.0043620848787335915,True
bending,320,0.005351218630774965,0.006799088331636555,0.004402412493851817,True
bending,340,0.0053547563220563464,0.006976166986685887,0.004381239031750012,True
bending,360,0.005344043004137725,0.006734693478307933,0.004404223106110778,True
bending,380,0.005325551947115677,0.007014682730033171,0.004346659822438384,True
bending,400,0.005339943939399327,0.006592929437838021,0.004419907074778051,True
bending,420,0.519973523284977,0.007572348689808994,0.004282816339065099,False
bending,440,1.8710425132530744,0.00793973281861317,0.004317901316964923,False
bending,460,0.00543515223445024,0.006923547774437705,0.004468977903827019,True
bending,480,0.3268424685662612,0.007487087987947881,0.004444458996956598,False
bending,500,0.005360991487166233,0.006741421096743376,0.004420232756556582,True
bending,520,0.0052909815068273025,0.006847679033258103,0.004335394584944882,True
bending,540,0.005345436188282796,0.006912844740212492,0.004380755455633487,True
bending,560,0.005265552014245901,0.006594437284059802,0.004345304731156886,True
bending,580,0.005303381461486431,0.007046793666432488,0.004320008286993054,True
bending,600,0.0053288546811194135,0.0071032110212996494,0.00433760851984958,True
bending,620,0.005255785746933185,0.006943628202940703,0.0042868092121222294,True
bending,640,0.536526713845984,0.007578816079609161,0.004325488643442774,False
bending,660,0.005275569102444847,0.0068901520230599264,0.004314055116313248,True
bending,680,0.005397091283149135,0.007029942534593811,0.004416069667647607,True
bending,700,0.05333551080254548,0.007290211590859655,0.004199484460232334,False
bending,720,0.005287372899034653,0.00670566758326176,0.004351603536315705,True
bending,740,0.005312873768119206,0.006605786508238135,0.004391042711879369,True
bending,760,3.4834740093655094,0.008222456593046887,0.004356730163248496,False
bending,780,0.005288743266964918,0.006584807801960602,0.004369839768699025,True
bending,800,0.005315338491703916,0.006652051886913259,0.0043870511470511485,True
bending,820,0.005290227441487346,0.006570834147564864,0.004373273953046185,True
bending,840,0.005376495466262424,0.006795367338324556,0.00442820859032217,True
bending,860,0.00530187198307109,0.006528206877186584,0.004390867088582887,True
bending,880,0.0052517214332259135,0.006606951598156824,0.00432972778982571,True
bending,899,0.005230481511358096,0.006541143140945005,0.004317671373895517,True
