retained_blocks,student_rank,head_parameters,head_compression,exact_local_distortion,exact_pair_distortion,exact_uniform_output_error,optimal_rank_output_rms_lower_bound,optimal_jacobian_loss,pair_accuracy_at_5_percent,simultaneous_pass_at_5_percent
1.0,4.0,5968.0,67.39142091152814,0.218452284702899,0.218452284702899,0.4057661312095009,0.4057661312095009,1.2743040099089238,0.0,0.0
2.0,8.0,11152.0,36.064562410329984,0.12620309046801503,0.12620309046801503,0.19911341802280907,0.19911341802280913,0.7743040099089238,0.0,0.0
3.0,12.0,16336.0,24.61998041136141,0.08819433215338213,0.08819433215338213,0.12228980011445992,0.12228980011445992,0.5520817876867015,0.0,0.0
4.0,16.0,21520.0,18.689219330855018,0.06749497166363805,0.06749497166363805,0.08451210097988666,0.08451210097988666,0.42708178768670146,0.0,0.0
5.0,20.0,26704.0,15.061114439784301,0.05448516610047627,0.05448516610047627,0.06278769952812858,0.06278769952812858,0.3470817876867014,0.0,0.0
6.0,24.0,31888.0,12.612644254892123,0.04555490711804899,0.04555490711804899,0.04898045871050362,0.04898045871050361,0.29152623213114603,1.0,1.0
7.0,28.0,37072.0,10.84894259818731,0.03904678316552779,0.03904678316552779,0.03957396972461279,0.03957396972461279,0.25070990560053374,1.0,1.0
8.0,32.0,42256.0,9.517985611510792,0.0340936391485116,0.0340936391485116,0.0328301359997879,0.0328301359997879,0.21945990560053374,1.0,1.0
9.0,36.0,47440.0,8.477908937605397,0.030197934386731573,0.030197934386731573,0.027802630257096617,0.027802630257096617,0.19476854757584228,1.0,1.0
10.0,40.0,52624.0,7.642748555792034,0.02705384795425425,0.02705384795425425,0.02393713118176078,0.023937131181760784,0.17476854757584226,1.0,1.0
11.0,44.0,57808.0,6.95737614171049,0.024463077189561644,0.024463077189561644,0.020889795550455014,0.020889795550455014,0.1582396219560076,1.0,1.0
12.0,48.0,62992.0,6.384810769621539,0.022291417999689922,0.022291417999689922,0.018437270428560176,0.018437270428560176,0.14435073306711876,1.0,1.0
13.0,52.0,68176.0,5.899319408589533,0.02044480906183843,0.02044480906183843,0.01642885819303047,0.01642885819303047,0.13251641354049148,1.0,1.0
14.0,56.0,73360.0,5.482442748091603,0.018855370244315606,0.018855370244315606,0.014759598251435593,0.014759598251435593,0.12231233190783852,1.0,1.0
