subdivision,vertices,faces,edges,latitude_warp_factor,longitude_twist_radians,local_query_hops,local_query_pairs,local_query_pair_fraction,local_queries_per_vertex,relative_edge_noise,trials,w2_chord_max_abs_error_mean,w2_chord_max_abs_error_std,gaussian_covariance_minimum_eigenvalue_mean,gaussian_covariance_minimum_eigenvalue_std,noncommuting_covariance_query_fraction_mean,noncommuting_covariance_query_fraction_std,oracle_covariance_parameter_scale_mean,oracle_covariance_parameter_scale_std,oracle_scaled_raw_parameter_distance_relative_rmse_mean,oracle_scaled_raw_parameter_distance_relative_rmse_std,query_chord_relative_rmse_mean,query_chord_relative_rmse_std,triangle_edge_relative_rmse_mean,triangle_edge_relative_rmse_std,euler_characteristic_mean,euler_characteristic_std,integrated_curvature_mean,integrated_curvature_std,total_area_mean,total_area_std,learned_radius_mean,learned_radius_std,radius_absolute_error_mean,radius_absolute_error_std,curvature_oracle_weighted_rmse_mean,curvature_oracle_weighted_rmse_std,curvature_smooth_k1_weighted_rmse_mean,curvature_smooth_k1_weighted_rmse_std,nonpositive_angle_defect_fraction_mean,nonpositive_angle_defect_fraction_std,graph_geodesic_relative_error_mean,graph_geodesic_relative_error_std,spherical_reconstruction_rmse_mean,spherical_reconstruction_rmse_std,spherical_reconstruction_hausdorff_mean,spherical_reconstruction_hausdorff_std,spherical_reconstruction_chamfer_rms_mean,spherical_reconstruction_chamfer_rms_std,reconstruction_query_chord_relative_stress_mean,reconstruction_query_chord_relative_stress_std,reconstruction_edge_chord_relative_stress_mean,reconstruction_edge_chord_relative_stress_std,ordinary_mds_rmse_mean,ordinary_mds_rmse_std,ordinary_mds_hausdorff_mean,ordinary_mds_hausdorff_std,topology_uniform_rmse_mean,topology_uniform_rmse_std,topology_uniform_hausdorff_mean,topology_uniform_hausdorff_std,mean_disk_rmse_mean,mean_disk_rmse_std,mean_disk_hausdorff_mean,mean_disk_hausdorff_std,invalid_triangle_fraction_mean,invalid_triangle_fraction_std,clipped_chord_to_arc_fraction_mean,clipped_chord_to_arc_fraction_std,graph_diameter_calibration_factor_mean,graph_diameter_calibration_factor_std,clipped_spherical_pair_fraction_mean,clipped_spherical_pair_fraction_std
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.0,1.0,8.881784197001252e-16,0.0,1.88979920023285,0.0,0.8484848484848485,0.0,0.17064789020050478,0.0,0.007486089765208103,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.566370614359167,0.0,9.389248652100166,0.0,0.8643915012598912,0.0,0.13560849874010883,0.0,0.0,0.0,0.34051668529684403,0.0,0.0,0.0,0.09846872546093899,0.0,0.13647212967381936,0.0,0.1372045698421354,0.0,0.13647212967381936,0.0,0.13579390922622517,0.0,0.13752285627350727,0.0,0.39610796566140655,0.0,0.41283498143965724,0.0,0.13885716444728155,0.0,0.1696537364152038,0.0,0.6520350255885192,0.0,0.9222059231799269,0.0,0.0,0.0,0.24242424242424243,0.0,1.0,0.0,0.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.005,3.0,8.881784197001252e-16,0.0,1.88979920023285,0.0,0.8484848484848485,0.0,0.17064789020050478,0.0,0.007486089765208103,0.0,0.004316428000275507,0.0002919219731699977,0.004329370261968329,0.0003316700409183718,2.0,0.0,12.566370614359167,2.5121479338940403e-15,9.38113942697905,0.0026561439109164657,0.8640181368792255,0.00012232229989464415,0.13598186312077445,0.00012232229989464415,0.015224870131571264,0.0012057247498184923,0.34178368383183816,0.0007281461885974485,0.0,0.0,0.0986455698766165,0.0003816505983802971,0.1369571112499157,0.00019489967845879726,0.1389663129978629,0.0004657854617974159,0.1369571112499157,0.00019489967845879726,0.13631728710920096,0.00016344855448858247,0.13765957863211964,0.00019125870072809656,0.39584124432116186,0.00044731595822936445,0.41495009767803276,0.0015476564472400038,0.13885716444728155,0.0,0.1696537364152038,0.0,0.6520350255885192,0.0,0.9222059231799268,1.1102230246251565e-16,0.0,0.0,0.24242424242424243,0.0,1.0,0.0,0.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.01,3.0,8.881784197001252e-16,0.0,1.88979920023285,0.0,0.8484848484848485,0.0,0.17064789020050478,0.0,0.007486089765208103,0.0,0.009361023878163016,0.0006023965174981388,0.009478663657261766,0.0013070483671586296,2.0,0.0,12.566370614359172,1.0255800994045674e-15,9.38175653597581,0.02379138899593849,0.8640458682681342,0.001096048078135979,0.13595413173186577,0.001096048078135979,0.04772333639574322,0.011941963781688034,0.3449247534329687,0.002469708878207731,0.0,0.0,0.09668834382412615,0.002326676394416884,0.13675321331419935,0.001370270714701831,0.139435519916736,0.0007516940691820261,0.13675321331419935,0.001370270714701823,0.13577322113235865,0.0012167754784013754,0.13772644079633298,0.00017132908778173252,0.39238083155089915,0.003211512839942785,0.4083820788955634,0.002563117790429937,0.13885716444728155,0.0,0.1696537364152038,0.0,0.6520350255885192,0.0,0.9222059231799268,1.1102230246251565e-16,0.0,0.0,0.2474747474747475,0.014284985478516112,1.0,0.0,0.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.02,3.0,8.881784197001252e-16,0.0,1.88979920023285,0.0,0.8484848484848485,0.0,0.17064789020050478,0.0,0.007486089765208103,0.0,0.020693619627102755,0.001257047494629198,0.021415102481978313,0.0009439435462226929,2.0,0.0,12.566370614359172,2.9007785717557725e-15,9.368282718688137,0.06590980776044784,0.86342054112982,0.0030365499975005296,0.13657945887017997,0.0030365499975005296,0.10016583755439434,0.01969265776658908,0.35547762611919254,0.011999680283376075,0.0,0.0,0.09971006434555459,0.002901821562231273,0.13846036028799405,0.0027846073303315366,0.14603882287517944,0.004345097150231308,0.13846036028799405,0.0027846073303315366,0.13899808491526697,0.002061924958440116,0.13940185287587983,0.000607997386954099,0.3951960797764919,0.006622320846693681,0.43868590710309113,0.016139835893809563,0.13885716444728155,0.0,0.1696537364152038,0.0,0.6520350255885192,0.0,0.9222059231799268,1.1102230246251565e-16,0.0,0.0,0.2626262626262626,0.0142849854785161,1.0,0.0,0.0,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.0,1.0,1.1102230246251565e-15,0.0,1.7537887487646788,0.0,0.9228070175438596,0.0,0.17049269298089456,0.0,0.009245443883189937,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.566370614359172,0.0,11.580535935999222,0.0,0.9599738376298609,0.0,0.04002616237013912,0.0,0.0,0.0,0.11041538323534282,0.0,0.0,0.0,0.0391554625898991,0.0,0.040049005692389394,0.0,0.040094832257449996,0.0,0.0400490056923894,0.0,0.04001351989947498,0.0,0.03992415291466714,0.0,0.32030349049631046,0.0,0.3513931780980364,0.0,0.1363195410472379,0.0,0.17904075762503183,0.0,0.6537564303613516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9550878157624795,0.0,0.0,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.005,3.0,1.1102230246251565e-15,0.0,1.7537887487646788,0.0,0.9228070175438597,1.1102230246251565e-16,0.17049269298089456,0.0,0.009245443883189937,0.0,0.004959427061731522,0.00016176188049747353,0.005146436784995625,0.0003574522140092414,2.0,0.0,12.566370614359167,1.4503892858778862e-15,11.578251145128945,0.005059757993897496,0.9598791106502759,0.000209739290565052,0.0401208893497241,0.000209739290565052,0.08088251420789357,0.009468207113571374,0.13897081487987525,0.003536155879164111,0.0,0.0,0.037981327467380414,0.0007962977530786547,0.04025560405530652,0.0001990068036397148,0.040994777299252404,0.00031524106708265135,0.04025560405530652,0.00019900680363971215,0.040381526122616994,8.026029423269038e-05,0.04031919096059993,9.6976880537509e-05,0.3213877124362629,0.001064968925783278,0.35175175250810703,0.0017193539456631685,0.1363195410472379,0.0,0.17904075762503183,0.0,0.6537564303613516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9577355350012979,0.0007909913875764073,0.0,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.01,3.0,1.1102230246251565e-15,0.0,1.7537887487646788,0.0,0.9228070175438597,1.1102230246251565e-16,0.17049269298089456,0.0,0.009245443883189937,0.0,0.010005216468644757,0.00018548092851939298,0.009525169812536363,0.00020569468122839184,2.0,0.0,12.566370614359167,6.067413692036656e-15,11.565673500456038,0.007804499503968904,0.9593575710486326,0.0003236725647688702,0.04064242895136738,0.0003236725647688702,0.1476878157178703,0.01518554694853295,0.17729171093782806,0.023471202611296066,0.0,0.0,0.03796046961684849,0.0010332096209417195,0.041086412627548745,0.00034139323327437936,0.04243197868748211,0.0003993238374360764,0.041086412627548745,0.00034139323327437936,0.04160674477768416,0.00064255803412045,0.041572426862997953,0.00032235061057494423,0.3207664767814163,0.0014833059673972945,0.3535894909854674,0.0008566210004210712,0.1363195410472379,0.0,0.17904075762503183,0.0,0.6537564303613516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.961290809717859,0.0008422401491475222,0.00019357336430507162,0.00027375407711442023
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.02,3.0,1.1102230246251565e-15,0.0,1.7537887487646788,0.0,0.9228070175438597,1.1102230246251565e-16,0.17049269298089456,0.0,0.009245443883189937,0.0,0.019659364589425337,0.0005055544018860768,0.021864914434987028,0.0012446648792941225,2.0,0.0,12.56637061435917,1.7763568394002505e-15,11.544188289961527,0.02600954114880359,0.9584655177794607,0.0010799968638729076,0.04153448222053924,0.0010799968638729074,0.30519045285191654,0.010730851806136836,0.3296515508055086,0.019279343488858083,0.0,0.0,0.04012087282416366,0.0023775626938628276,0.04315442734141558,0.0011114226504688716,0.04830825146477358,0.0023046448045437426,0.04315442734141558,0.0011114226504688716,0.045917014440398675,0.0013003942918203921,0.045826719490697165,0.0005285180887732926,0.3178237417926157,0.003238113045213332,0.3511342019224808,0.0046916580807729825,0.1363195410472379,0.0,0.17904075762503183,0.0,0.6537564303613516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9680312850185367,0.002954262142784373,0.00038714672861014324,0.0005475081542288405
2.0,162.0,320.0,480.0,1.35,0.24,3.0,2730.0,0.20933977455716588,33.7037037037037,0.0,1.0,1.4432899320127035e-15,0.0,1.7537887487646788,0.0,0.9633699633699634,0.0,0.17021507463059476,0.0,0.011688859092362395,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.566370614359148,0.0,12.304500777883378,0.0,0.9895256745224479,0.0,0.010474325477552116,0.0,0.0,0.0,0.04626716928843719,0.0,0.0,0.0,0.009147766739291735,0.0,0.01052157033643403,0.0,0.010665012034629487,0.0,0.01052157033643403,0.0,0.0106731513275018,0.0,0.010872196137859648,0.0,0.35252647928429787,0.0,0.38814490955839687,0.0,0.13627242453158794,0.0,0.18514032758463117,0.0,0.6538169431390506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9885365697858636,0.0,0.0,0.0
2.0,162.0,320.0,480.0,1.35,0.24,3.0,2730.0,0.20933977455716588,33.7037037037037,0.005,3.0,1.4432899320127035e-15,0.0,1.7537887487646788,0.0,0.9633699633699634,0.0,0.17021507463059474,2.7755575615628914e-17,0.011688859092362397,1.734723475976807e-18,0.005091491129965758,6.982871774545955e-05,0.005160417772712066,0.0002091814301756927,2.0,0.0,12.56637061435915,4.470400011810908e-15,12.30283963812789,0.003665033265311646,0.9894588670156997,0.00014738211203475004,0.01054113298430015,0.00014738211203475004,0.29822124897201246,0.015595910944763402,0.3036653074361269,0.012206828921308855,0.008230452674897118,0.005819808898654712,0.008479949700321397,0.00013384341752833675,0.010710795650506604,0.00014192457772907018,0.011451213992623345,0.0001737974759112815,0.010710795650506607,0.00014192457772907086,0.01186992488298288,0.0001315065936061958,0.012570907653687962,0.0001392672138523782,0.35357870295445276,0.00018416308643289265,0.3893588394582419,0.000718548374857369,0.13627242453158794,0.0,0.18514032758463117,0.0,0.6538169431390506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9916916379222481,0.00016057337165621037,0.0,0.0
