model,step,objective,reconstruction,mgw_squared
r2_gw,1.0,0.2555627226829529,0.2555627226829529,0.17795656621456146
r2_gw,50.0,0.025237921625375748,0.025237921625375748,0.11519653350114822
r2_gw,100.0,0.016304010525345802,0.016304010525345802,0.042115721851587296
r2_gw,150.0,0.013084830716252327,0.013084830716252327,0.034989915788173676
r2_gw,200.0,0.013666330836713314,0.012008573859930038,0.033155132085084915
r2_gw,250.0,0.014765087515115738,0.011337092146277428,0.0342799536883831
r2_gw,300.0,0.01556345447897911,0.010578530840575695,0.03323281928896904
r2_gw,350.0,0.017906706780195236,0.011265324428677559,0.033206913620233536
r2_gw,400.0,0.018493179231882095,0.010193700902163982,0.03319791704416275
r2_gw,450.0,0.021643243730068207,0.010360305197536945,0.03760979697108269
r2_gw,500.0,0.022312242537736893,0.010180462151765823,0.03466223180294037
r2_gw,550.0,0.021172013133764267,0.010222413577139378,0.031284574419260025
r2_gw,600.0,0.02165503054857254,0.010645647533237934,0.0314553827047348
r2_gw,650.0,0.021691899746656418,0.009501216933131218,0.034830521792173386
r2_gw,700.0,0.020637620240449905,0.009779159910976887,0.03102416917681694
r2_gw,750.0,0.020555511116981506,0.009564129635691643,0.03140394762158394
r2_gw,800.0,0.020679175853729248,0.00951214786618948,0.03190579265356064
r2_gw,850.0,0.020954221487045288,0.009475107304751873,0.03279746696352959
r2_gw,900.0,0.02202090620994568,0.00974125787615776,0.03508470952510834
r2_gw,950.0,0.021003711968660355,0.009592290036380291,0.03260406479239464
r2_gw,1000.0,0.020909998565912247,0.0096314437687397,0.032224446535110474
r2_gw,1050.0,0.020197667181491852,0.009306193329393864,0.031118499115109444
r2_gw,1100.0,0.02147945575416088,0.009416859596967697,0.03446456044912338
r2_gw,1150.0,0.021421417593955994,0.010273631662130356,0.03185081481933594
r2_gw,1200.0,0.020656738430261612,0.009249773807823658,0.0325913280248642
r2_gw,1250.0,0.02112032100558281,0.009963488206267357,0.03187666833400726
r2_gw,1300.0,0.020359192043542862,0.009404953569173813,0.031297825276851654
r2_gw,1350.0,0.02243468165397644,0.010535319335758686,0.03399817645549774
r2_gw,1400.0,0.020122554153203964,0.009254862554371357,0.03105054423213005
r2_gw,1450.0,0.020500853657722473,0.01024814136326313,0.029293464496731758
r2_gw,1500.0,0.022224554792046547,0.009268646128475666,0.03701688349246979
s2_gw,1.0,0.24876022338867188,0.24876022338867188,0.4286035895347595
s2_gw,50.0,0.027796003967523575,0.027796003967523575,0.4094870388507843
s2_gw,100.0,0.023654209449887276,0.023654209449887276,0.15474112331867218
s2_gw,150.0,0.014891503378748894,0.014891503378748894,0.06173618882894516
s2_gw,200.0,0.013615138828754425,0.012443287298083305,0.023437034338712692
s2_gw,250.0,0.0141310915350914,0.011880069971084595,0.022510213777422905
s2_gw,300.0,0.012914611026644707,0.010229621082544327,0.017899934202432632
s2_gw,350.0,0.01374144572764635,0.010289333760738373,0.017260558903217316
s2_gw,400.0,0.013872692361474037,0.009694702923297882,0.01671195775270462
s2_gw,450.0,0.014276744797825813,0.009267674759030342,0.016696900129318237
s2_gw,500.0,0.014540569856762886,0.00897288229316473,0.01590767875313759
s2_gw,550.0,0.015229498036205769,0.008829973638057709,0.018284356221556664
s2_gw,600.0,0.014467418193817139,0.008618343621492386,0.01671164110302925
s2_gw,650.0,0.014487715438008308,0.008542495779693127,0.016986342146992683
s2_gw,700.0,0.013714544475078583,0.00795820727944374,0.01644667610526085
s2_gw,750.0,0.01334039494395256,0.008237477391958237,0.01457976270467043
s2_gw,800.0,0.013898724690079689,0.008081816136837006,0.016619740054011345
s2_gw,850.0,0.013428370468318462,0.007898173294961452,0.015800563618540764
s2_gw,900.0,0.01292632520198822,0.0074960398487746716,0.015515100210905075
s2_gw,950.0,0.013596104457974434,0.007785642985254526,0.01660131849348545
s2_gw,1000.0,0.014021608978509903,0.007760258857160807,0.01788957230746746
s2_gw,1050.0,0.013682868331670761,0.007673323154449463,0.017170129343867302
s2_gw,1100.0,0.014257559552788734,0.007911457680165768,0.018131721764802933
s2_gw,1150.0,0.013720993883907795,0.007479020394384861,0.017834210768342018
s2_gw,1200.0,0.012847736477851868,0.007539154030382633,0.01516737975180149
s2_gw,1250.0,0.012845768593251705,0.0073439693078398705,0.015719426795840263
s2_gw,1300.0,0.013901401311159134,0.007706107571721077,0.017700837925076485
s2_gw,1350.0,0.01336535532027483,0.007702719885855913,0.016178958117961884
