x,y,z
0.1851768897,0,1.170022667
0.1356088871,-0.05073337479,1.213737536
0.1727973548,0.09995455572,1.180940391
0.2101559689,-0.09551254912,1.14799319
0.09393478165,0.02394108005,1.250490643
0.243600239,0.08190945684,1.118498116
0.147978909,-0.1606600221,1.202828202
0.1269576426,0.1588866854,1.221367217
0.2753143126,-0.06546753247,1.090528932
0.07058191145,-0.07705171774,1.271085938
0.2273291245,0.1924081773,1.13284789
0.2152265819,-0.2122151909,1.14352133
0.0660081763,0.1162943362,1.275119594
0.3124258636,0.05176141147,1.057799621
0.1002653551,-0.2043862001,1.244907602
0.1635222682,0.2561593586,1.189120248
0.2979108497,-0.1717280969,1.07060066
0.03018933798,-0.01133698025,1.30670884
0.2979619591,0.1989570409,1.070555585
0.1790815381,-0.289199108,1.175398262
0.08075559513,0.227844426,1.262113593
0.3581781527,-0.04051278781,1.017449894
0.04645175825,-0.1774491606,1.292366733
0.2302008524,0.3096755498,1.130315264
0.2827209205,-0.2810989456,1.083996918
0.01616202882,0.1004190594,1.319079764
0.3662390178,0.1412101513,1.01034088
0.1209743537,-0.316250695,1.226643982
0.1301099056,0.3282697414,1.218587182
0.3742748048,-0.1650502521,1.003253982
-0.6754950201,-0.3913113582,1.047175415
0.3112593934,0.3080789867,1.058828351
0.2363640293,-0.366492479,1.124879853
0.03421325737,0.2310619759,1.303160076
0.4177146354,0.03160372653,0.9649436519
-0.5456354149,-0.543302563,1.020397018
0.206423783,0.3933243503,1.151284668
0.3570478487,-0.295138837,1.018446729
-0.7650446334,-0.2954852284,1.042134815
0.3917133271,0.2469995996,0.9878746504
0.1681246563,-0.4068124926,1.185061323
0.0855232091,0.3540747893,1.257908952
0.4415104189,-0.1118410079,0.9439577434
-0.6480373509,-0.4402853884,0.9974654744
0.2987379807,0.4055550995,1.069871199
0.3079756549,-0.4048690716,1.061724336
-0.008137347438,0.1891510796,1.340509799
0.4572960625,0.1314500986,0.9300361144
-0.4847810644,-0.6241383628,0.9827063289
0.1659449758,0.4448253889,1.186983621
0.4313973589,-0.265980638,0.952876624
-0.7545572289,-0.3271647572,0.9892061263
0.3935350936,0.3562165536,0.9862680034
0.2337600688,-0.4716464189,1.12717633
0.03721557545,0.339099224,1.300512281
0.4960331536,-0.02451937497,0.8958732112
-0.5967728742,-0.5131607161,0.9532137469
0.2664408791,0.4835179388,1.098354565
0.3865965549,-0.4053540411,0.9923872194
-0.8479283335,-0.222673963,0.9959202166
0.4764738245,0.2464378325,0.9131229181
-0.4122261807,-0.7144058334,0.9537554411
0.1155277823,0.4617859459,1.231447406
0.4998773666,-0.1996945409,0.892482934
-0.7186806652,-0.3855813352,0.9388357706
0.3743133692,0.4579694426,1.003219971
0.3119218061,-0.5057403953,1.058244157
-0.008547538484,0.2866141446,1.340871554
0.5344247966,0.08714402474,0.8620149646
-0.5279150334,-0.6025866226,0.9159064482
0.2193728069,0.5349690404,1.139864703
0.4659204961,-0.3686801021,0.9224300788
-0.833064838,-0.2599698997,0.9407954086
0.4750018,0.3654965065,0.9144211216
-0.3353739657,-0.8059757494,0.9336695378
0.06126395053,0.4426647935,1.279303608
0.5574192198,-0.1023669802,0.8417357894
-0.6610542266,-0.4659301697,0.8932007351
0.33692557,0.5428001824,1.03619291
0.3969335958,-0.5055477361,0.9832708062
-0.9226151153,-0.1556901896,0.9578688535
0.5541837375,0.2135378595,0.8445892166
-0.4477103288,-0.7013318999,0.8866227307
0.162634748,0.5546293427,1.189902967
0.5402022279,-0.2970439566,0.8569197491
-0.7942232476,-0.3225958085,0.8878803334
0.4535779692,0.4783395365,0.9333151644
0.3011252478,-0.5876345121,1.067765827
0.008934311119,0.3877639282,1.325454012
0.5998854567,0.01887227293,0.8042840888
-0.5861341359,-0.5626680286,0.8540768585
0.2849723433,0.6028023455,1.08201135
0.4831554109,-0.4695619308,0.9072303127
-0.9089498767,-0.1928201847,0.8997561729
0.553978177,0.3448684727,0.844770504
-0.3626457691,-0.8020968699,0.865934027
0.1015669424,0.539304134,1.24375971
0.6043051408,-0.1944942489,0.8003862939
-0.7337140424,-0.4071870688,0.8393790769
0.4140175214,0.575569222,0.9682041999
0.3924451336,-0.5941955174,0.9872292578
-0.9883417325,-0.09606805754,0.9261468332
0.6242187433,0.1557914528,0.7828241471
-0.499222433,-0.6695061711,0.8227748514
0.2227869611,0.6318850958,1.136853702
0.5650897941,-0.3985055359,0.8349709788
-0.8712464527,-0.2554714351,0.8435244048
0.5337469827,0.4713755283,0.8626127403
-0.2792976742,-0.8976940244,0.8538632596
0.04161455029,0.4880634414,1.29663275
0.653873518,-0.06688593004,0.7566710942
-0.6551380807,-0.5090985708,0.7971606085
0.3592259423,0.649003853,1.016525831
0.4858793622,-0.5648772565,0.9048280135
-0.9798864082,-0.128699768,0.8649238329
0.6285699618,0.2993365499,0.7789867332
-0.4062801377,-0.7796353275,0.8000852873
-0.1967963777,1.206673953,0.5888988243
0.6375998318,-0.2953189234,0.7710231364
-0.8110806394,-0.3410803921,0.7913800234
0.4947066291,0.5837354898,0.8970430958
