model,true_torus_distance,learned_distance
r2_gw,0.6722128391265869,0.590345561504364
r2_gw,0.6923744678497314,0.14652864634990692
r2_gw,0.6041635274887085,0.6309842467308044
r2_gw,0.6375307440757751,0.5906484723091125
r2_gw,0.25256770849227905,0.16603749990463257
r2_gw,0.6855026483535767,0.2125965654850006
r2_gw,0.33250662684440613,0.5278864502906799
r2_gw,0.5981888175010681,0.3001843988895416
r2_gw,0.19532886147499084,0.25379854440689087
r2_gw,0.5288853049278259,0.02338530868291855
r2_gw,0.5980750918388367,0.11637961864471436
r2_gw,0.7411211133003235,0.4026714563369751
r2_gw,0.3966282606124878,0.2137959599494934
r2_gw,0.4031238555908203,0.4963248074054718
r2_gw,0.5320050120353699,0.6626726984977722
r2_gw,0.6639357209205627,0.20840099453926086
r2_gw,0.6673371195793152,0.05357371270656586
r2_gw,0.6201834678649902,0.471086710691452
r2_gw,0.6316667199134827,0.46756184101104736
r2_gw,0.4348776638507843,0.5286491513252258
r2_gw,0.4653898775577545,0.6537743210792542
r2_gw,0.5217828154563904,0.2271498739719391
r2_gw,0.7134137749671936,0.5844571590423584
r2_gw,0.3572862446308136,0.4837155044078827
r2_gw,0.12176802009344101,0.1575307846069336
r2_gw,0.4748515784740448,0.13719210028648376
r2_gw,0.6814644932746887,0.6089109182357788
r2_gw,0.775964617729187,0.6190451383590698
r2_gw,0.23992183804512024,0.13048122823238373
r2_gw,0.5012626647949219,0.6319931149482727
r2_gw,0.7040987014770508,0.1037183627486229
r2_gw,0.7119409441947937,0.5557851195335388
r2_gw,0.5960404872894287,0.7538620829582214
r2_gw,0.4888141453266144,0.6803048253059387
r2_gw,0.67606520652771,0.7169387340545654
r2_gw,0.46561434864997864,0.16503703594207764
r2_gw,0.6681094765663147,0.6201725602149963
r2_gw,0.7109102606773376,0.5246525406837463
r2_gw,0.6665847301483154,0.28395986557006836
r2_gw,0.2179446816444397,0.03749735280871391
r2_gw,0.33182817697525024,0.3411123752593994
r2_gw,0.6323946118354797,0.2367340624332428
r2_gw,0.28668010234832764,0.44735753536224365
r2_gw,0.6892414093017578,0.1823510229587555
r2_gw,0.7195399403572083,0.3022838234901428
r2_gw,0.4406168758869171,0.08971196413040161
r2_gw,0.5768558382987976,0.12949270009994507
r2_gw,0.30603277683258057,0.318137526512146
r2_gw,0.46034371852874756,0.37021106481552124
r2_gw,0.1546136736869812,0.11662980169057846
r2_gw,0.826561689376831,0.665791928768158
r2_gw,0.5480884909629822,0.5860040187835693
r2_gw,0.6815760731697083,0.3493407070636749
r2_gw,0.3502323627471924,0.08664567768573761
r2_gw,0.6864508390426636,0.07792103290557861
r2_gw,0.4697575569152832,0.3827144205570221
r2_gw,0.6172534227371216,0.42840680480003357
r2_gw,0.14933264255523682,0.05621626228094101
r2_gw,0.3665606379508972,0.2554696798324585
r2_gw,0.6963769793510437,0.22842814028263092
r2_gw,0.4906842112541199,0.33645960688591003
r2_gw,0.6426010131835938,0.15038733184337616
r2_gw,0.6454780101776123,0.02174873650074005
r2_gw,0.2084350883960724,0.17712527513504028
r2_gw,0.6825850009918213,0.6019307374954224
r2_gw,0.3899328112602234,0.526699423789978
r2_gw,0.16102367639541626,0.09132638573646545
r2_gw,0.3442828357219696,0.4624631404876709
r2_gw,0.4274316430091858,0.30018195509910583
r2_gw,0.11742936819791794,0.02273213490843773
r2_gw,0.783351480960846,0.6450681090354919
r2_gw,0.41775837540626526,0.5391789674758911
r2_gw,0.7941168546676636,0.7052412629127502
r2_gw,0.5070766806602478,0.46708428859710693
r2_gw,0.6709479093551636,0.43634679913520813
r2_gw,0.7661570906639099,0.5912925004959106
r2_gw,0.6001632213592529,0.6279427409172058
r2_gw,0.6451821327209473,0.6826225519180298
