epoch,objective,reconstruction_mse,kl
1.0,0.07176802077293395,0.07134337956110637,0.14154697817166648
2.0,0.06555605696042378,0.06374938692450523,0.6022233810106913
3.0,0.06365091195106506,0.06063242410421371,1.0061625902811686
4.0,0.06211684151093165,0.057735351977745694,1.4604965382258097
5.0,0.06163198561271032,0.05705638603369395,1.525199823697408
6.0,0.06069554163614909,0.05529313665032387,1.8008016653060912
7.0,0.05977616612911224,0.05351273929278056,2.0878089995066325
8.0,0.05905554639498393,0.05241409259239833,2.2138179087320964
9.0,0.058672106269995375,0.05168414717912674,2.329319650141398
10.0,0.05845038491487503,0.05131803299585978,2.3774506713867187
11.0,0.0582484037121137,0.05098022701740265,2.422725579961141
12.0,0.05809374624093373,0.05072660946647326,2.4557122811635335
