step,training_loss_ema,validation_loss
0,,1.025537944
100,0.568161008,0.391022514
200,0.431562005,0.3879614042
300,0.4062922936,0.3864600273
400,0.4085283146,0.3849956532
500,0.4009705546,0.3840632601
600,0.3750627582,0.3825495547
700,0.3898367858,0.3815307568
800,0.3869386131,0.3819598452
900,0.391481774,0.3803547611
1000,0.3901343087,0.3782847375
1100,0.3897996831,0.3761532006
1200,0.3904309566,0.3739954145
1300,0.3815770749,0.3717743776
1400,0.3926807951,0.3707903394
1500,0.3874620627,0.3668292377
1600,0.3972109004,0.3658012507
1700,0.3659390463,0.3631881104
1800,0.377705536,0.3622813127
1900,0.3718880481,0.3605741861
2000,0.3631256092,0.3595931659
2100,0.3718663819,0.3609377756
2200,0.3654552705,0.3574912303
2300,0.3855484013,0.3563345851
2400,0.3756113299,0.3561509973
2500,0.3699494573,0.3576825983
2600,0.3725086047,0.3542722214
2700,0.3815369595,0.3540588646
2800,0.3522805246,0.3526977581
2900,0.3571055067,0.3528521807
3000,0.3595812148,0.3516165394
3100,0.3785391591,0.3522100501
3200,0.363339768,0.3510493803
3300,0.3705095088,0.351964195
3400,0.3557193775,0.3518921195
3500,0.3605638487,0.3524570663
3600,0.3682515357,0.3502664591
3700,0.3700417579,0.3499825809
3800,0.3572794619,0.3505543891
3900,0.3737028957,0.3510086712
4000,0.3719769612,0.3498661004
4100,0.3637786091,0.3496388227
4200,0.3662159616,0.3499361709
4300,0.3646332566,0.3493115245
4400,0.3839418477,0.348975695
4500,0.3713687775,0.3488779037
4600,0.3637088671,0.3495908759
4700,0.3796025245,0.3492897611
4800,0.3688685692,0.3494652042
4900,0.3595811664,0.3490853124
5000,0.3718729347,0.3487195443
5100,0.3701597539,0.3492698234
5200,0.359988114,0.3482973295
5300,0.3604635322,0.3482122009
5400,0.3692144958,0.3485869972
5500,0.3678459832,0.3481801195
5600,0.3522330728,0.3483447588
5700,0.3592326454,0.3512604276
5800,0.3525504128,0.3488428651
5900,0.3699088458,0.3483217082
6000,0.3725281822,0.3480087171
