model,short_label,latex_label,geometry,metric_weight,reconstruction_mse,mgw_stress,selection_score,true_so3_stress,true_distance_correlation,true_10nn_recall,parameters,graph_true_correlation,train_graph_k,valid_graph_k,train_graph_scale,valid_graph_scale
r3_gw,R3+MGW,$\mathbb{R}^3$+MGW,euclidean,0.35,0.028093228116631508,0.36346338689948876,0.07433019988238812,0.3060522083018952,0.47591697063369154,0.24633333333333335,410102.0,0.6779916375628016,14.0,14.0,0.48934256121210523,0.48934256121210523
s3_gw,S3+MGW,$S^3$+MGW,sphere,0.35,0.026844456791877747,0.33477665806219353,0.06607085056602954,0.2800025029155716,0.523753407217788,0.275,410295.0,0.6779916375628016,14.0,14.0,0.48934256121210523,0.48934256121210523
so3_recon,SO3-only,$SO(3)$ recon-only,so3,0.0,0.025724777951836586,0.2416347456203551,0.04616035055369139,0.2311789432462218,0.46435398673849754,0.2846666666666667,410775.0,0.6779916375628016,14.0,14.0,0.48934256121210523,0.48934256121210523
so3_gw,SO3+MGW,$SO(3)$+MGW,so3,0.35,0.025675559416413307,0.2248725344621868,0.04337423928081989,0.2249422177983018,0.43877228409359403,0.292,410775.0,0.6779916375628016,14.0,14.0,0.48934256121210523,0.48934256121210523
