decoder,estimated_own_distance,distance_relative_error_vs_teacher,straight_path_length,straight_excess_over_own_geodesic,teacher_geodesic_length_under_decoder,fixed_teacher_geodesic_length_error,student_regret_on_teacher_path,teacher_regret_on_student_path,teacher_straight_excess,teacher_geodesic_step_cv,teacher_geodesic_step_profile_max_error,teacher_path_output_rmse_per_pixel,minimum_metric_eigenvalue_on_own_path,length_resolution_relative_gap,maximum_latent_edge,normalized_boundary_clearance,dataset,left_pool_index,right_pool_index,left_label,right_label,segments,optimization_steps,restarts,seed
teacher,14.523569876321616,0.0,15.027092338000028,0.0346693317115736,14.523569876321616,0.0,0.0,0.0,0.0346693317115736,0.007076997182861175,0.0,0.0,18.575149829048076,8.598849086105531e-07,0.06068724553957077,0.17695032982150777,fashion-mnist,1789,2467,0,8,48,700,3,20260731
rank_8,14.417141588330324,0.007327970250950999,14.908897087071537,0.03410908436518745,14.41729858911183,0.0073171601827072275,1.0889868878871667e-05,8.36001979354073e-06,0.0346693317115736,0.007099379153884965,0.022435110195114794,0.05169541037919023,17.816299448426083,8.307194048207123e-07,0.06184844860412492,0.17695032982150777,fashion-mnist,1789,2467,0,8,48,700,3,20260731
rank_13,14.506433412348187,0.001179907152260684,15.013440471389528,0.03495049710908016,14.506434873066379,0.0011798065765616927,1.0069450917526979e-07,5.428835647691699e-07,0.0346693317115736,0.006910359532509334,0.001894960366028875,0.00502556750748216,18.47981907522468,8.603167493959063e-07,0.060775663439116716,0.17695032982150777,fashion-mnist,1789,2467,0,8,48,700,3,20260731
