target_x,target_y,target_z,width_4_x,width_4_y,width_4_z,width_16_x,width_16_y,width_16_z,width_64_x,width_64_y,width_64_z
0.8408996914,-0.3104918059,0.4432635193,1,-1.086738809,0.6486606741,1,-1.123316511,0.6527323694,1,-0.7651805252,0.495818505
0.8464397954,0.5321133546,-0.01987588121,1,-0.3280688495,-0.1147165143,1,-0.3001631418,-0.1224115971,1,-0.3186570502,-0.3282025374
0.8848006538,-0.2348562685,0.4024553841,1,0.01178175465,0.3536778398,1,0.03722704125,0.3422511393,1,-0.01249283653,0.4618846679
0.8390441603,0.5436004827,0.02243685145,1,0.2473582472,0.5344481162,1,0.2583639957,0.5161933666,1,0.2829900361,0.4321988817
0.8754026182,-0.2189274077,-0.4309768512,1,-0.4624644712,-0.5942487847,1,-0.4160720749,-0.5595487856,1,-0.3054378181,-0.6018484741
0.8544964468,-0.2497686243,0.4554683926,1,0.6008371849,0.1436822848,1,0.5955112471,0.1677068813,1,0.5931331324,0.1211485396
0.8290138043,-0.2912964797,0.4773703732,1,0.300199845,0.1468451835,1,0.2765634095,0.1636883381,1,0.4992259742,0.1173590931
0.866249698,-0.3392613557,-0.3667604031,1,0.2737261306,-0.5148579056,1,0.26703988,-0.5333774131,1,0.1952978804,-0.4653900791
0.8467298742,-0.2612247941,0.4634761344,1,0.4304834184,0.8526847862,1,0.4325476579,0.8051315276,1,0.3490757442,0.6610638739
0.8595755214,-0.2250200365,-0.4587983285,1,0.1497712287,0.5979395697,1,0.1712690365,0.5780331198,1,0.1166505839,0.5464405826
0.8599454684,0.5096908666,-0.02662727716,1,-0.4219766826,-0.4850937348,1,-0.3849800497,-0.4605548644,1,-0.2867090895,-0.5643371056
0.8202282784,-0.2545785215,0.5122649195,1,0.2192464534,0.3018623729,1,0.2159365529,0.3015293584,1,0.4568279472,0.178562908
0.8315109354,-0.2448063908,0.4986575933,1,-0.04629010034,-0.2236375735,1,-0.05714436583,-0.2081031714,1,-0.1822927175,-0.4736677582
0.8020864948,-0.3250688914,0.5009864976,1,-0.8451664418,-0.4077519231,1,-0.8602629758,-0.3532340416,1,-0.7562031639,-0.2215373574
0.8480822438,0.5297667368,-0.01018392378,1,-0.7823223409,0.1403929714,1,-0.8370725557,0.1480123436,1,-0.6291380634,0.2165682939
0.8140432238,-0.2682436069,-0.5151494901,1,0.05847087445,0.3638825874,1,0.07971104435,0.352552473,1,0.05966772313,0.4432309873
0.8504542683,-0.2314577058,0.4723927053,1,0.3958078163,0.6969083793,1,0.3991164023,0.664670857,1,0.3647060897,0.5153838501
0.8406797686,-0.2896442016,0.4575628516,1,0.01840539848,-0.1644593419,1,0.001174003623,-0.1485708588,1,-0.1427673628,-0.4367462767
0.840780308,0.5411146769,0.01683390096,1,0.06566916824,0.1289304448,1,0.06595617637,0.1303637509,1,0.3699806217,0.1353165181
0.8258975512,-0.2766036034,0.4913081329,1,0.2093481028,0.0201389915,1,0.182269425,0.03855755206,1,0.468609398,0.08965590114
0.8553752074,0.49536889,-0.151469196,1,0.1705699095,0.04739582395,1,0.1491276522,0.06205630163,1,0.4558660984,0.09485300069
0.8555734571,-0.2552811168,-0.4503616445,1,0.4039953729,0.3947314609,1,0.3918578024,0.3955246495,1,0.5365663454,0.1842001088
0.8123090802,-0.3239294293,-0.4849986424,1,-0.4779413179,-0.6941412954,1,-0.4228086418,-0.651213986,1,-0.3199446978,-0.6378546646
0.8319768525,-0.1963893855,0.5188889344,1,-0.0477424643,0.4704411845,1,-0.01656858894,0.4619951792,1,-0.09054685979,0.5278863715
0.8386960104,-0.3064470959,-0.4501990444,1,0.3895503033,0.1918935562,1,0.3669085011,0.2100077778,1,0.5245273279,0.1288765348
0.8400307408,-0.3075441195,0.4469507457,1,0.09064498531,-0.02324727673,1,0.0730139458,-0.01021215311,1,0.3900588744,0.06549188918
0.8679075587,0.4794362805,0.12991275,1,0.2359136193,-0.09122364081,1,0.2022799852,-0.06947796356,1,0.4722497007,0.0617305105
0.872532169,-0.3306817563,0.3596348011,1,0.2642699966,0.09398614258,1,0.2387290766,0.1119083976,1,0.4878567113,0.1058017315
0.8388707065,-0.3251665849,0.4365347979,1,-0.07309492409,0.3257207346,1,-0.04176692782,0.3151217404,1,-0.1068520432,0.4628548087
0.8320886502,0.5538647086,0.02936601462,1,-0.2029027148,0.2261222284,1,-0.1683037823,0.2153412341,1,-0.2824875938,0.3830312585
0.8898601954,-0.2406501598,-0.3876033193,1,-0.1835972937,0.5127529411,1,-0.1552955102,0.520699634,1,-0.1738832741,0.5525895347
0.8059072765,-0.332675364,0.4897351978,1,-0.6995321871,-0.4428636423,1,-0.6734818803,-0.4050186343,1,-0.5487441195,-0.3546526771
0.8371412075,-0.1957427969,0.5107635031,1,0.232147716,-0.08034369096,1,0.1989004794,-0.05865331884,1,0.471610296,0.06515392218
0.8398437593,-0.2891405245,-0.4594129049,1,0.4266456637,0.7068726313,1,0.4274565577,0.6733769815,1,0.3910388066,0.5114862676
0.8389708576,-0.1481445838,0.5236230346,1,-0.450753328,-1.120225627,1,-0.3380518776,-1.066906259,1,-0.361354639,-0.8541118859
0.8650626131,-0.2218721123,-0.4499327075,1,-0.6175723055,-0.2823275363,1,-0.5992742322,-0.266151675,1,-0.5641905344,-0.2244198313
0.8484902214,0.5290961221,0.01102895109,1,0.08848594899,-0.6381334672,1,0.1013574201,-0.6446718253,1,-0.1205371943,-0.5911368322
0.8561944953,0.5165544238,-0.01012489218,1,0.201991897,0.04381256482,1,0.17721729,0.06069435307,1,0.4672071709,0.09464698615
0.8418248927,-0.2652513018,-0.4700772244,1,-0.4409146468,-0.06805393946,1,-0.4160226037,-0.076733832,1,-0.4817610986,-0.04553027373
0.828088067,-0.2246880096,-0.5136004787,1,-0.04581503369,0.186721895,1,-0.02463605443,0.1780513098,1,-0.0851977397,0.3786065122
0.8705851356,-0.3316411275,0.3634496998,1,-0.6213402452,0.1444778108,1,-0.6383908205,0.1469269318,1,-0.5157659671,0.2915773526
0.832802746,0.5527807974,0.02954617067,1,-0.4779608054,0.1449267895,1,-0.4656204869,0.1399919187,1,-0.4426921095,0.3143894786
0.8936911513,0.4475160881,-0.03233383643,1,0.4622030544,-0.5301163162,1,0.4539249345,-0.5688486751,1,0.4662394894,-0.4025826664
0.8698517667,-0.3183049058,-0.3768817996,1,0.1993093089,-0.04689775863,1,0.1689665298,-0.02664854896,1,0.4609932194,0.07347366355
