shape,relative_edge_noise,trials,w2_chord_max_abs_error_mean,w2_chord_max_abs_error_std,gaussian_covariance_minimum_eigenvalue_mean,gaussian_covariance_minimum_eigenvalue_std,noncommuting_covariance_edge_fraction_mean,noncommuting_covariance_edge_fraction_std,oracle_covariance_parameter_scale_mean,oracle_covariance_parameter_scale_std,oracle_scaled_raw_parameter_distance_relative_rmse_mean,oracle_scaled_raw_parameter_distance_relative_rmse_std,rigidity_smallest_nonzero_singular_value_mean,rigidity_smallest_nonzero_singular_value_std,edge_noise_l2_mean,edge_noise_l2_std,aligned_frobenius_error_mean,aligned_frobenius_error_std,local_rigidity_bound_mean,local_rigidity_bound_std,error_to_bound_ratio_mean,error_to_bound_ratio_std,final_e3_rmse_mean,final_e3_rmse_std,final_edge_relative_rmse_mean,final_edge_relative_rmse_std,initializer_e3_rmse_mean,initializer_e3_rmse_std,same_skeleton_passes,same_skeleton_pass_rate,local_bound_passes,local_bound_pass_rate,local_bound_violations
sphere,0.0,1.0,1.1102230246251565e-15,0.0,1.7537887487646788,0.0,0.9,0.0,0.17017136055240384,0.0,0.011986614009994977,0.0,0.3516038249179104,0.0,0.0,0.0,2.107341494238578e-14,0.0,0.0,0.0,nan,nan,3.25169852075133e-15,0.0,1.8793219636193246e-16,0.0,0.04224366436510324,0.0,1.0,1.0,1.0,1.0,0.0
sphere,0.005,3.0,1.1102230246251565e-15,0.0,1.7537887487646788,0.0,0.9,0.0,0.17017136055240387,0.0,0.011986614009994977,0.0,0.3516038249179105,0.0,0.030815273551946003,0.0013518361376697685,0.03896835893995229,0.0011425231274095737,0.1752840633013051,0.007689541704987901,0.22248765642836302,0.00474304498818901,0.00601294832695987,0.00017629514596846356,1.2649719175464125e-16,7.337641172020695e-18,0.04241533362082078,0.0005212837652444644,3.0,1.0,3.0,1.0,0.0
sphere,0.01,3.0,1.1102230246251565e-15,0.0,1.7537887487646788,0.0,0.9,0.0,0.17017136055240387,0.0,0.011986614009994977,0.0,0.3516038249179105,0.0,0.05889637437651529,0.0028170223011465324,0.07089210144583113,0.004052719644289423,0.33501554990345134,0.01602384332311644,0.21175717533000182,0.010291812913746529,0.010938888738944203,0.0006253482175710361,2.4023218564189894e-16,1.5880602581669513e-16,0.04233036014669178,0.0003753653762508312,3.0,1.0,3.0,1.0,0.0
ellipsoid,0.0,1.0,6.661338147750939e-16,0.0,2.11248968624677,0.0,0.9,0.0,0.17049983010381964,0.0,0.00662850532348149,0.0,0.28653449224988786,0.0,0.0,0.0,1.409397222910897e-14,0.0,0.0,0.0,nan,nan,2.174747129224206e-15,0.0,1.289288390318388e-16,0.0,0.12697826860464664,0.0,1.0,1.0,1.0,1.0,0.0
ellipsoid,0.005,3.0,6.661338147750939e-16,0.0,2.11248968624677,0.0,0.9,0.0,0.17049983010381964,0.0,0.006628505323481489,0.0,0.28653449224988786,0.0,0.03284608305984093,0.0037584513547080935,0.04665361182158335,0.006680346278668471,0.22926442678458225,0.02623384937147695,0.20285814548961886,0.005702915854044572,0.007198808591901365,0.0010307998097053394,1.22399849945252e-16,1.7483004218667493e-18,0.12699240434127743,0.00022139746172655426,3.0,1.0,3.0,1.0,0.0
ellipsoid,0.01,3.0,6.661338147750939e-16,0.0,2.11248968624677,0.0,0.9,0.0,0.17049983010381964,0.0,0.006628505323481489,0.0,0.28653449224988786,0.0,0.06376490597436853,0.007793047871738641,0.09483873662280944,0.018089572965900174,0.44507665010018344,0.05439518161005405,0.21139473545259102,0.02024145230314589,0.014633934767072027,0.002791281708022091,1.3188577362620803e-16,1.1556252468039048e-17,0.12704950156561975,0.0005192552088893571,3.0,1.0,3.0,1.0,0.0
