model,true_so3_distance,learned_distance
r3_gw,0.7135628461837769,0.1648164987564087
r3_gw,0.783355712890625,0.679648220539093
r3_gw,0.763468325138092,0.2869819104671478
r3_gw,0.6109055876731873,0.5373230576515198
r3_gw,0.7421645522117615,0.5518104434013367
r3_gw,0.585835337638855,0.4949078857898712
r3_gw,0.3922331929206848,0.4469009041786194
r3_gw,0.6919351816177368,0.5307261347770691
r3_gw,0.8027657866477966,0.6960779428482056
r3_gw,0.695685088634491,0.6781110167503357
r3_gw,0.6195323467254639,0.4838079512119293
r3_gw,0.5024518966674805,0.5162363052368164
r3_gw,0.6469917297363281,0.4057259261608124
r3_gw,0.9556753635406494,0.6328706741333008
r3_gw,0.7962943315505981,0.5873784422874451
r3_gw,0.6006196737289429,0.47964605689048767
r3_gw,0.5582352876663208,0.38226118683815
r3_gw,0.5535376667976379,0.5542389154434204
r3_gw,0.7093039155006409,0.2727591097354889
r3_gw,0.17650699615478516,0.10762319713830948
r3_gw,0.6725391745567322,0.6238634586334229
r3_gw,0.7534969449043274,0.474310040473938
r3_gw,0.49643585085868835,0.4944155216217041
r3_gw,0.29236945509910583,0.12448423355817795
r3_gw,0.7654718160629272,0.17792528867721558
r3_gw,0.8170585632324219,0.5849484205245972
r3_gw,0.7324921488761902,0.6576518416404724
r3_gw,0.3824852406978607,0.03790946304798126
r3_gw,0.9063352942466736,0.6322008967399597
r3_gw,0.9617192149162292,0.5252454280853271
r3_gw,0.9298309087753296,0.6811445355415344
r3_gw,0.8570559024810791,0.6569223999977112
r3_gw,0.22202454507350922,0.4015859067440033
r3_gw,0.4496062099933624,0.5178220272064209
r3_gw,0.42865264415740967,0.43426650762557983
r3_gw,0.43863874673843384,0.31140416860580444
r3_gw,0.6641886830329895,0.6674501895904541
r3_gw,0.5340191125869751,0.6562890410423279
r3_gw,0.36278772354125977,0.31470516324043274
r3_gw,0.8413916826248169,0.19506940245628357
r3_gw,0.5698906183242798,0.4463852345943451
r3_gw,0.7154607772827148,0.6598389744758606
r3_gw,0.9591467380523682,0.7790535688400269
r3_gw,0.6963393092155457,0.6152746677398682
r3_gw,0.5436750650405884,0.4932669997215271
r3_gw,0.10829408466815948,0.2148260623216629
r3_gw,0.5368691086769104,0.5075802803039551
r3_gw,0.7984021306037903,0.7479029297828674
r3_gw,0.8860962986946106,0.5049736499786377
r3_gw,0.757764458656311,0.5425227284431458
r3_gw,0.9211871027946472,0.641880214214325
r3_gw,0.7747507691383362,0.632551372051239
r3_gw,0.7689546942710876,0.6105126142501831
r3_gw,0.5018483400344849,0.062922403216362
r3_gw,0.525671124458313,0.43788835406303406
r3_gw,0.6138419508934021,0.4002910554409027
r3_gw,0.6922621130943298,0.09805881232023239
r3_gw,0.4621291756629944,0.4058297872543335
r3_gw,0.8327142000198364,0.27815327048301697
r3_gw,0.5695978999137878,0.3901432156562805
r3_gw,0.8137193322181702,0.6572020649909973
r3_gw,0.9728494882583618,0.738800048828125
r3_gw,0.8893343210220337,0.5323310494422913
r3_gw,0.5371436476707458,0.3933643400669098
r3_gw,0.8480097651481628,0.4929753541946411
r3_gw,0.8990778923034668,0.6715245246887207
r3_gw,0.9142752289772034,0.7841430902481079
r3_gw,0.800083577632904,0.3949032723903656
r3_gw,0.6906952857971191,0.5814014077186584
r3_gw,0.6726380586624146,0.44328996539115906
r3_gw,0.5775377750396729,0.414385050535202
r3_gw,0.30921074748039246,0.18824587762355804
r3_gw,0.6006442904472351,0.07309895008802414
r3_gw,0.41114094853401184,0.42899367213249207
r3_gw,0.5954625010490417,0.46770063042640686
r3_gw,0.9247559905052185,0.04393830522894859
r3_gw,0.9170621633529663,0.6059830784797668
r3_gw,0.6609780788421631,0.44409671425819397
r3_gw,0.7653741240501404,0.6507256627082825
r3_gw,0.8961671590805054,0.6460293531417847
r3_gw,0.14523932337760925,0.02937222458422184
r3_gw,0.836991548538208,0.6978198289871216
r3_gw,0.7466792464256287,0.11322958767414093
r3_gw,0.2692636251449585,0.3260803520679474
r3_gw,0.4938224256038666,0.22689077258110046
r3_gw,0.839854896068573,0.6816026568412781
r3_gw,0.5405603051185608,0.5820316076278687
r3_gw,0.7284650802612305,0.42798617482185364
r3_gw,0.7665744423866272,0.49666857719421387
r3_gw,0.5505053997039795,0.07197974622249603
r3_gw,0.8420379161834717,0.6092193722724915
r3_gw,0.7546489238739014,0.505763053894043
r3_gw,0.5823396444320679,0.5935954451560974
r3_gw,0.9423418045043945,0.6835201382637024
r3_gw,0.8624075651168823,0.6448972225189209
r3_gw,0.8559218645095825,0.5031353831291199
r3_gw,0.3542424142360687,0.49866312742233276
r3_gw,0.8010681867599487,0.06652148813009262
r3_gw,0.7885235548019409,0.6419752836227417
r3_gw,0.6692276000976562,0.6497241854667664
r3_gw,0.7130559682846069,0.6471202969551086
r3_gw,0.5937049388885498,0.39346766471862793
r3_gw,0.6904616951942444,0.6331261992454529
r3_gw,0.6578015089035034,0.4967005252838135
