quantile,target,width_4,width_16,width_64
0.000244140625,-0.3825062736,-1.011881004,-0.9317065931,-0.87052207
0.008056640625,-0.3768298047,-0.5697390909,-0.5486880466,-0.4836627804
0.01586914062,-0.3711391483,-0.490763594,-0.4784716428,-0.4203745292
0.02368164062,-0.3654345188,-0.4445484873,-0.4368081839,-0.3843707631
0.03149414062,-0.3597161308,-0.4116031723,-0.4068037589,-0.3591869019
0.03930664062,-0.3539841997,-0.3858585213,-0.3831639909,-0.3397853739
0.04711914062,-0.3482389413,-0.3646319197,-0.3635365735,-0.3239663238
0.05493164062,-0.342480572,-0.3465022426,-0.3466698632,-0.310575393
0.06274414062,-0.3367093084,-0.3306262743,-0.3318183354,-0.2989330389
0.07055664062,-0.3309253679,-0.3164629262,-0.3185019396,-0.2886061411
0.07836914062,-0.3251289682,-0.303644389,-0.3063933397,-0.2793020091
0.08618164062,-0.3193203277,-0.2919093265,-0.2952592916,-0.2708137448
0.09399414062,-0.3134996649,-0.281065417,-0.2849276938,-0.2629897647
0.1018066406,-0.307667199,-0.2709670261,-0.2752679021,-0.255715717
0.1096191406,-0.3018231496,-0.2615012261,-0.2661783778,-0.2489032063
0.1174316406,-0.2959677368,-0.2525786805,-0.2575786182,-0.24248247
0.1252441406,-0.2901011809,-0.2441274949,-0.2494037026,-0.2363974538
0.1330566406,-0.2842237029,-0.2360889471,-0.2416004986,-0.2306024033
0.1408691406,-0.278335524,-0.2284144473,-0.2341249567,-0.2250594437
0.1486816406,-0.272436866,-0.2210633263,-0.2269401395,-0.2197368219
0.1564941406,-0.2665279508,-0.2140011961,-0.2200147575,-0.2146076056
0.1643066406,-0.2606090011,-0.2071987123,-0.2133220636,-0.2096487022
0.1721191406,-0.2546802395,-0.2006306275,-0.2068390052,-0.2048401071
0.1799316406,-0.2487418894,-0.1942750557,-0.2005455654,-0.2001643196
0.1877441406,-0.2427941743,-0.1881128953,-0.1944242451,-0.1956058818
0.1955566406,-0.2368373181,-0.1821273693,-0.1884596506,-0.1911510101
0.2033691406,-0.2308715451,-0.1763036578,-0.1826381622,-0.186787296
0.2111816406,-0.22489708,-0.1706285988,-0.1769476665,-0.1825034616
0.2189941406,-0.2189141476,-0.165090445,-0.1713773357,-0.1782891541
0.2268066406,-0.2129229732,-0.1596786623,-0.1659174475,-0.1741347733
0.2346191406,-0.2069237824,-0.1543837635,-0.1605592347,-0.1700313228
0.2424316406,-0.200916801,-0.1491971691,-0.1552947592,-0.1659702794
0.2502441406,-0.1949022552,-0.14411109,-0.1501168072,-0.1619434772
0.2580566406,-0.1888803715,-0.1391184287,-0.1450187991,-0.1579430015
0.2658691406,-0.1828513765,-0.1342126952,-0.1399947143,-0.15396109
0.2736816406,-0.1768154972,-0.1293879346,-0.1350390261,-0.1499900386
0.2814941406,-0.170772961,-0.1246386658,-0.1301466456,-0.1460221095
0.2893066406,-0.1647239953,-0.1199598276,-0.1253128744,-0.1420494393
0.2971191406,-0.1586688277,-0.1153467327,-0.1205333622,-0.138063946
0.3049316406,-0.1526076864,-0.1107950272,-0.1158040713,-0.1340572321
0.3127441406,-0.1465407995,-0.1063006555,-0.1111212444,-0.1300204834
0.3205566406,-0.1404683955,-0.1018598289,-0.1064813775,-0.1259443622
0.3283691406,-0.1343907028,-0.09746899893,-0.1018811951,-0.1218188935
0.3361816406,-0.1283079505,-0.09312483247,-0.09731762884,-0.117633345
0.3439941406,-0.1222203674,-0.0888241908,-0.09278779879,-0.1133761017
0.3518066406,-0.1161281828,-0.08456411023,-0.08828899612,-0.109034538
0.3596191406,-0.110031626,-0.080341785,-0.08381866831,-0.104594892
