sensor_side,sensor_count,rmse,correlation,moment_operator_error,squared_metric_uniform_bound
4.0,16.0,0.009444549679756165,0.9991916285022159,0.02022003857198413,0.06066011571595239
6.0,36.0,0.0038641372229903936,0.9998646170759341,0.008173007457429327,0.02451902237228798
8.0,64.0,0.0021143299527466297,0.9999594635946769,0.004454986226080815,0.013364958678242445
12.0,144.0,0.0009216686012223363,0.9999922968340964,0.0019370006731670444,0.005811002019501133
16.0,256.0,0.0005150511278770864,0.9999975943978154,0.0010813361043721657,0.0032440083131164968
24.0,576.0,0.00022782996529713273,0.9999995292942554,0.0004780116957774361,0.0014340350873323082
32.0,1024.0,0.00012793978385161608,0.9999998515633725,0.0002683790920982032,0.0008051372762946096
48.0,2304.0,5.6795484852045774e-05,0.9999999707475473,0.00011911253745361394,0.00035733761236084183
64.0,4096.0,3.193367592757568e-05,0.9999999907522119,6.69729890453441e-05,0.0002009189671360323
