teacher,teacher_frequency,teacher_derivative_amplitude,teacher_s,teacher_M1,method,repeat,seed,width,steps,evaluation_grid_size,output_rmse_tolerance,distance_distortion_tolerance,parameter_count,output_rmse,minimum_student_std,epsilon1_grid_max,q_theory,delta_cert,distance_distortion_bound,metric_distortion_max,metric_length_distortion_max,distance_distortion_max,distance_distortion_p95,triplet_accuracy,hard_triplet_accuracy,hard_triplet_fraction,certified_triplet_accuracy_lower_bound,triplet_accuracy_on_certified_subset,certified_all_distance_pass,empirical_all_distance_pass,certificate_scope
warped,4,0.2,0.8,1.2,value,2,20360939,8,2500,48,0.02,0.05,184,0.019763052702684636,0.2987670567586087,0.2562763103597866,0.6807406921151135,1.0636573314298645,inf,0.7020626219717112,0.3046312206795112,0.2608909793487957,0.06975264043225743,0.9235026041666666,0.8669309173272933,0.5748697916666666,0.0,nan,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,2,20360947,16,2500,48,0.02,0.05,488,0.018139479306715826,0.30484929894271945,0.22364760743231232,0.5867725101477472,0.9168320471058549,0.7116114549879882,0.5963156127188962,0.26345384273383576,0.2450727777071331,0.06623504814040893,0.9313151041666666,0.8805209513023783,0.5748697916666666,0.0205078125,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,2,20360963,32,2500,48,0.02,0.05,1480,0.017751337801287338,0.31044762317984753,0.220427931532904,0.5776155086788441,0.9025242323106938,0.6877889052430932,0.6014404382964573,0.2654803192055013,0.23210677824411263,0.06592199272273702,0.9329427083333334,0.883352208380521,0.5748697916666666,0.0234375,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,2,20360995,64,2500,48,0.02,0.05,5000,0.017597949024641374,0.3088385671872293,0.21303307962879794,0.5566624841252448,0.8697851314456948,0.639147026402296,0.5885545987775931,0.2603787521128691,0.2337394597936664,0.06631255577153354,0.9319661458333334,0.8816534541336354,0.5748697916666666,0.0322265625,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,2,20361059,128,2500,48,0.02,0.05,18184,0.016864120213061076,0.30965130382755374,0.21051892712626977,0.5495636437814431,0.8586931934085046,0.6240920237724459,0.5632410737642051,0.25029639436583406,0.20855405642420544,0.06299120530577569,0.9348958333333334,0.8867497168742922,0.5748697916666666,0.036783854166666664,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,2,20361187,256,2500,48,0.02,0.05,69128,0.014278390915928052,0.3072749479204658,0.2134022131033183,0.5577058160053581,0.8714153375083719,0.6414129638544804,0.4816272650753748,0.2172211241493367,0.18125978834443224,0.05118020279817139,0.94921875,0.9116647791619479,0.5748697916666666,0.03125,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,c1,0,20370735,4,2500,48,0.02,0.05,80,0.022634758712672683,0.30583309692501565,0.3004666336684461,0.8114001187523189,1.267812685550498,inf,0.7680096700772592,0.3296652473751651,0.20930417617605723,0.06482628421649116,0.9241536458333334,0.8680634201585504,0.5748697916666666,0.0,nan,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,c1,0,20370739,8,2500,48,0.02,0.05,184,0.017848289055547042,0.3058243011766339,0.22310375253716197,0.5852242904853519,0.9144129538833621,0.7074473618019521,0.6116493483228302,0.26950752196386385,0.24645093067088464,0.06587054231771505,0.9339192708333334,0.8850509626274066,0.5748697916666666,0.021158854166666668,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,c1,0,20370747,16,2500,48,0.02,0.05,488,0.01055272444743763,0.30273327511986164,0.17017688720378682,0.43738470222745873,0.6834135972304042,0.437339886992515,0.412087115595539,0.18831271793057014,0.17217659595956136,0.03568367145777703,0.9684244791666666,0.9450736126840317,0.5748697916666666,0.09440104166666667,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,c1,0,20370763,32,2500,48,0.02,0.05,1480,0.002909440867546342,0.30795667963014933,0.057215070611428435,0.140589733772499,0.21967145901952964,0.11663793324567628,0.0933172954315038,0.04561814035120104,0.03627647441357862,0.012844229245843641,0.9879557291666666,0.9790486976217441,0.5748697916666666,0.3362630208333333,1.0,0,1,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,c1,0,20370795,64,2500,48,0.02,0.05,5000,0.0010793022816408923,0.31237472119236004,0.023638042048575794,0.057290057948472146,0.08951571554448771,0.04580699831977786,0.038157818216730366,0.01926446899112011,0.025968599006485293,0.0099404419385173,0.9908854166666666,0.984144960362401,0.5748697916666666,0.4856770833333333,1.0,1,1,fixed_evaluation_grid
