model,step,objective,reconstruction,mgw_squared
r3_gw,1.0,0.253341406583786,0.253341406583786,0.3015289902687073
r3_gw,50.0,0.052035100758075714,0.052035100758075714,0.17734214663505554
r3_gw,100.0,0.03368115797638893,0.03368115797638893,0.15410619974136353
r3_gw,150.0,0.03165103495121002,0.03165103495121002,0.13219833374023438
r3_gw,200.0,0.03696731477975845,0.030718551948666573,0.1249752789735794
r3_gw,250.0,0.04189349338412285,0.03003181330859661,0.11861679702997208
r3_gw,300.0,0.046431057155132294,0.029400845989584923,0.11353473365306854
r3_gw,350.0,0.052440691739320755,0.029285946860909462,0.11577372252941132
r3_gw,400.0,0.057996757328510284,0.029018832370638847,0.11591169238090515
r3_gw,450.0,0.06385242938995361,0.02905525080859661,0.11599057912826538
r3_gw,500.0,0.06807801872491837,0.028747906908392906,0.11237174272537231
r3_gw,550.0,0.06823170185089111,0.028572222217917442,0.11331279575824738
r3_gw,600.0,0.0702882781624794,0.02880462072789669,0.11852473020553589
r3_gw,650.0,0.06773936748504639,0.02846183441579342,0.11222152411937714
r3_gw,700.0,0.06727440655231476,0.02839571237564087,0.11108199506998062
r3_gw,750.0,0.0680072158575058,0.028265098109841347,0.11354891955852509
r3_gw,800.0,0.06528449803590775,0.028200486674904823,0.10595432668924332
r3_gw,850.0,0.06703025847673416,0.02791214920580387,0.1117660254240036
r3_gw,900.0,0.06588714569807053,0.027989231050014496,0.1082797572016716
r3_gw,950.0,0.06840062141418457,0.028016500174999237,0.11538321524858475
r3_gw,1000.0,0.06675492972135544,0.02774442918598652,0.11145857721567154
r3_gw,1050.0,0.0677584707736969,0.027946915477514267,0.11374731361865997
r3_gw,1100.0,0.06850424408912659,0.027986619621515274,0.11576463282108307
r3_gw,1150.0,0.06625840067863464,0.027530206367373466,0.11065198481082916
r3_gw,1200.0,0.06883551180362701,0.027676962316036224,0.1175958439707756
r3_gw,1250.0,0.0678534284234047,0.027768449857831,0.11452850699424744
r3_gw,1300.0,0.067389115691185,0.027758559212088585,0.1132301613688469
r3_gw,1350.0,0.06780895590782166,0.027559807524085045,0.11499756574630737
r3_gw,1400.0,0.06623151898384094,0.027338404208421707,0.11112318187952042
r3_gw,1450.0,0.0680529922246933,0.027458101511001587,0.11598541587591171
r3_gw,1500.0,0.06693135201931,0.027152810245752335,0.11365298926830292
s3_gw,1.0,0.23714511096477509,0.23714511096477509,0.614835262298584
s3_gw,50.0,0.039994604885578156,0.039994604885578156,0.590671181678772
s3_gw,100.0,0.03490101546049118,0.03490101546049118,0.6173927783966064
