subdivision,vertices,faces,edges,latitude_warp_factor,longitude_twist_radians,local_query_hops,local_query_pairs,local_query_pair_fraction,local_queries_per_vertex,relative_edge_noise,seed,w2_chord_max_abs_error,query_chord_relative_rmse,triangle_edge_relative_rmse,euler_characteristic,integrated_curvature,total_area,learned_radius,radius_absolute_error,curvature_oracle_weighted_rmse,curvature_smooth_k1_weighted_rmse,nonpositive_angle_defect_fraction,graph_geodesic_relative_error,spherical_reconstruction_rmse,spherical_reconstruction_hausdorff,spherical_reconstruction_chamfer_rms,reconstruction_query_chord_relative_stress,reconstruction_edge_chord_relative_stress,ordinary_mds_rmse,ordinary_mds_hausdorff,topology_uniform_rmse,topology_uniform_hausdorff,mean_disk_rmse,mean_disk_hausdorff,invalid_triangle_fraction,clipped_chord_to_arc_fraction,graph_diameter_calibration_factor,clipped_spherical_pair_fraction
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,2.0,12.566370614359169,9.389248652100164,0.8643915012598912,0.13560849874010883,0.0,0.3405166852968439,0.0,0.09846872546093897,0.1364721296738195,0.13720456984213553,0.13647212967381947,0.13579390922622517,0.13752285627350727,0.3961079656614062,0.41283498143965525,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.24242424242424243,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.0,1.0,2.220446049250313e-16,0.0,0.0,2.0,12.566370614359169,9.389248652100164,0.8643915012598912,0.13560849874010883,0.0,0.3405166852968439,0.0,0.09846872546093897,0.1364721296738195,0.13720456984213553,0.13647212967381947,0.13579390922622517,0.13752285627350727,0.3961079656614062,0.41283498143965525,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.24242424242424243,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.0,2.0,2.220446049250313e-16,0.0,0.0,2.0,12.566370614359169,9.389248652100164,0.8643915012598912,0.13560849874010883,0.0,0.3405166852968439,0.0,0.09846872546093897,0.1364721296738195,0.13720456984213553,0.13647212967381947,0.13579390922622517,0.13752285627350727,0.3961079656614062,0.41283498143965525,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.24242424242424243,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.005,0.0,2.220446049250313e-16,0.004165501386699219,0.0039105867312167935,2.0,12.566370614359174,9.377482232430953,0.8638497123481051,0.13615028765189485,0.014425232522830496,0.3425521846758907,0.0,0.09846411055089897,0.13723130818966056,0.1383294862800337,0.13723130818966056,0.13654162406349493,0.1376291590294521,0.39544203066046046,0.4129847843071427,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.24242424242424243,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.005,1.0,2.220446049250313e-16,0.004724672805369967,0.004355806322752383,2.0,12.56637061435917,9.383710551519457,0.8641365397950421,0.13586346020495788,0.014320429364574184,0.3408058425174698,0.0,0.09829608350876005,0.1368443203029762,0.1394305788275365,0.1368443203029762,0.13625336635894592,0.13744203143197672,0.39561587034069573,0.41676703143596394,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.24242424242424243,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.005,2.0,2.220446049250313e-16,0.004059109808757348,0.004721717731935809,2.0,12.566370614359172,9.382225496986736,0.8640681584945292,0.13593184150547077,0.016928948507308788,0.3419930243021543,0.0,0.09917651557019047,0.13679570525711074,0.13913887388601823,0.13679570525711074,0.13615687090516213,0.13790754543493025,0.39646583196232815,0.4150984772909901,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.24242424242424243,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.01,0.0,2.220446049250313e-16,0.0097857758861688,0.011325614596704498,2.0,12.566370614359172,9.401351648835185,0.8649484339130455,0.13505156608695446,0.058399363710162515,0.3452020385411125,0.0,0.09340051396390003,0.13555176745167805,0.13894184397911097,0.13555176745167805,0.13413237901538036,0.13748861510828064,0.3882020809213858,0.40520122839513634,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.22727272727272727,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.01,1.0,2.220446049250313e-16,0.008509107691519417,0.008490827317388068,2.0,12.566370614359172,9.395645873592311,0.8646859211075387,0.13531407889246128,0.05371813258565752,0.3417708948598944,0.0,0.09844524403717142,0.13603717558880096,0.1388670180717764,0.13603717558880096,0.13614470822285124,0.13788547459569442,0.39601106846357115,0.4114778286230485,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.25757575757575757,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.01,2.0,2.220446049250313e-16,0.009788188056800845,0.008619549057692709,2.0,12.566370614359169,9.348272085499932,0.8625032497838183,0.13749675021618168,0.031052512891410557,0.3478013268978985,0.0,0.09821927347130695,0.1386706969021196,0.1404976976993212,0.1386706969021196,0.1370425761588444,0.137805232685024,0.3929293452677404,0.40846717966850343,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.25757575757575757,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.02,0.0,2.220446049250313e-16,0.021484942541512012,0.02016960731689984,2.0,12.566370614359169,9.290900153882003,0.8598525121390214,0.14014748786097864,0.10729678790596336,0.3681164703453494,0.0,0.09581507663398833,0.14185496683742008,0.14967878502399687,0.14185496683742005,0.1418707486508563,0.13909030317893611,0.3858308474133831,0.42171205063222544,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.2727272727272727,1.0,0.0
