decoder,estimated_own_distance,distance_relative_error_vs_teacher,straight_path_length,straight_excess_over_own_geodesic,teacher_geodesic_length_under_decoder,fixed_teacher_geodesic_length_error,student_regret_on_teacher_path,teacher_regret_on_student_path,teacher_straight_excess,teacher_geodesic_step_cv,teacher_geodesic_step_profile_max_error,teacher_path_output_rmse_per_pixel,minimum_metric_eigenvalue_on_own_path,length_resolution_relative_gap,maximum_latent_edge,normalized_boundary_clearance,dataset,left_pool_index,right_pool_index,left_label,right_label,segments,optimization_steps,restarts,seed
teacher,8.241508770857362,0.0,8.278438106840895,0.004480895065490653,8.241508770857362,0.0,0.0,0.0,0.004480895065490653,0.002139083285456159,0.0,0.0,5.783914061324107,2.742684236389792e-07,0.0648187816054616,0.23287146384272825,mnist,2288,1055,6,3,48,700,3,20260731
rank_8,8.158126849416934,0.010117312710419268,8.202339755535267,0.00541949235828465,8.158704747712438,0.010047192261412818,7.083713040634265e-05,6.793758348844214e-05,0.004480895065490653,0.007526935542597109,0.031198919370139744,0.012827613183345007,5.222982144687381,3.7406467090495e-07,0.06677715819901499,0.23287146384272825,mnist,2288,1055,6,3,48,700,3,20260731
rank_12,8.23243173922208,0.0011013798428971544,8.269399811516545,0.004490541004833037,8.23243215250817,0.0011013296960001862,5.0202188628389877e-08,2.0016372337394728e-08,0.004480895065490653,0.0019994415343773603,0.001779662256447656,0.0022848259094036863,5.725757059364119,2.9335314577494387e-07,0.0649845044323747,0.23287146384272825,mnist,2288,1055,6,3,48,700,3,20260731
