model,short_label,latex_label,geometry,metric_weight,selected_restart,reconstruction_mse,mgw_stress,selection_score,true_torus_stress,true_distance_correlation,true_10nn_recall,parameters,graph_true_correlation,graph_true_rmse,train_graph_k,valid_graph_k,train_graph_scale,valid_graph_scale
r2_gw,R2+MGW,$\mathbb{R}^2$+MGW,euclidean,0.35,0.0,0.00935268308967352,0.18522666606202695,0.021360804326832294,0.20543545971812696,0.6271603410002711,0.2593333333333333,409909.0,0.7316449555648197,0.18027496,4.0,4.0,1.301597785270164,1.301597785270164
s2_gw,S2+MGW,$S^2$+MGW,sphere,0.35,1.0,0.007859641686081886,0.1276210162333104,0.013560135010629892,0.1819179837404466,0.7237206377890251,0.43633333333333335,410102.0,0.7316449555648197,0.18027496,4.0,4.0,1.301597785270164,1.301597785270164
t2_recon,T2-only,$\mathbb{T}^2$ recon-only,torus,0.0,0.0,0.007638829760253429,0.17558888400006195,0.01842983942478895,0.19026951044361293,0.6111947964413487,0.41800000000000004,410295.0,0.7316449555648197,0.18027496,4.0,4.0,1.301597785270164,1.301597785270164
t2_gw,T2+MGW,$\mathbb{T}^2$+MGW,torus,0.35,1.0,0.008132660761475563,0.12076234074826801,0.01323690079152584,0.19157839838239768,0.6562018596102135,0.35466666666666663,410295.0,0.7316449555648197,0.18027496,4.0,4.0,1.301597785270164,1.301597785270164
