step,training_loss_ema,validation_loss
0,,2.373207475
100,2.139384067,2.045140599
200,1.737250672,1.583482779
300,1.484481493,1.45211489
400,1.43066899,1.396297733
500,1.340903539,1.363685242
600,1.327648472,1.341163312
700,1.297625116,1.326997358
800,1.284031554,1.316987571
900,1.256027184,1.312657876
1000,1.298083131,1.308050458
1100,1.276052188,1.307021196
1200,1.273275206,1.309935569
1300,1.287893783,1.304483932
1400,1.260912753,1.30635467
1500,1.278627412,1.307196788
1600,1.293178601,1.303818085
1700,1.290603,1.306491538
1800,1.266880269,1.302903292
1900,1.296254366,1.302495856
2000,1.308079304,1.303786537
2100,1.315949501,1.302375753
2200,1.255852059,1.304300417
2300,1.283951685,1.302684572
2400,1.266446528,1.302274864
2500,1.264146714,1.302875693
2600,1.286110206,1.302542348
2700,1.279319683,1.302388521
2800,1.282836838,1.303222124
2900,1.267045325,1.305106904
3000,1.258296397,1.303471143
3100,1.254091338,1.30218485
3200,1.248995162,1.303008845
3300,1.27427483,1.302864914
3400,1.263598623,1.301990908
3500,1.275262512,1.300743675
3600,1.280198459,1.302330821
3700,1.285606701,1.300083829
3800,1.248787327,1.300004065
3900,1.258385559,1.302834038
4000,1.285852884,1.3023058
4100,1.274520173,1.30166392
4200,1.307551218,1.301401946
4300,1.293696072,1.30050918
4400,1.2722675,1.300122625
4500,1.290545554,1.29959091
4600,1.30350788,1.299574945
4700,1.262904925,1.300467685
4800,1.296959783,1.300179985
4900,1.261549634,1.299273849
5000,1.282029135,1.299387114
5100,1.278875677,1.299647978
5200,1.275659733,1.30047227
5300,1.26196175,1.298955965
5400,1.291743606,1.298997046
5500,1.282013009,1.299580014
5600,1.302810096,1.2992922
5700,1.309348988,1.298916829
5800,1.269631433,1.2986439
5900,1.279016798,1.299081148
6000,1.255617874,1.299228265
