step,training_loss_ema,validation_loss
0,,1.012189952
100,0.6634175156,0.4153429034
200,0.4400528681,0.3935520513
300,0.4072653296,0.3904895784
400,0.4041232045,0.3885394918
500,0.4154816575,0.3857973825
600,0.4083634274,0.3834445182
700,0.3792113919,0.3821437311
800,0.395571253,0.3798361514
900,0.398941897,0.377411263
1000,0.3884068719,0.3759788534
1100,0.3986399534,0.3735026195
1200,0.3994436479,0.3717328366
1300,0.3966082994,0.370705514
1400,0.3897565195,0.3693721207
1500,0.3799193376,0.3683581674
1600,0.3811129914,0.3666465435
1700,0.3826367751,0.3653277763
1800,0.3804016931,0.364208664
1900,0.378163569,0.3642893335
2000,0.3738031363,0.3625146895
2100,0.3746764283,0.3616489636
2200,0.3787435013,0.3609833717
2300,0.3779488946,0.360658682
2400,0.3762836879,0.3596233866
2500,0.3824263216,0.3610920709
2600,0.3866686679,0.3602106251
2700,0.3883124868,0.3574789406
2800,0.3789509408,0.3573827373
2900,0.3743998364,0.3569098752
3000,0.3892428673,0.3577426456
3100,0.3791612963,0.3557586951
3200,0.3764877422,0.3561511285
3300,0.3712212584,0.3555904765
3400,0.3606580884,0.3552772421
3500,0.3806239653,0.3546015391
3600,0.3675390239,0.354617676
3700,0.3722810317,0.3550643457
3800,0.3738328862,0.3541133242
3900,0.3676451963,0.3536778134
4000,0.3665711767,0.3538802898
4100,0.3711383481,0.3533112041
4200,0.3709400604,0.3529590274
4300,0.3570592514,0.3528870196
4400,0.3738923832,0.3527143082
4500,0.3695780343,0.3524649986
4600,0.3600090489,0.3523262959
4700,0.3772466491,0.3521863952
4800,0.3675442811,0.3522652683
4900,0.3650470977,0.3524456919
5000,0.3728804658,0.3522702042
5100,0.3731409592,0.3524373667
5200,0.3737741178,0.3529556294
5300,0.3683470906,0.3518225606
5400,0.3563959907,0.3520470703
5500,0.3700985727,0.3517209373
5600,0.3720868698,0.3517507699
5700,0.3674059284,0.3515407188
5800,0.3886158775,0.3524858413
5900,0.3928679222,0.3514964928
6000,0.3726273218,0.3521964886
