epoch,objective,reconstruction_mse,kl
1.0,0.08184914140701294,0.077894901740551,1.3180797416210175
2.0,0.05833882699012757,0.05125409995516141,2.361575596364339
3.0,0.052647557574510576,0.04433594270547231,2.7705383136749266
4.0,0.05055526865720749,0.04171706825097402,2.9460667631785076
5.0,0.04975151211222013,0.04075937733054161,2.997378198750814
6.0,0.04918549772898356,0.04003384150067965,3.050552067565918
7.0,0.04862258246143659,0.03928740016818046,3.1117274232228596
8.0,0.04819293300906817,0.03870948666930199,3.1611487630208335
9.0,0.047834744811058046,0.03823355033596357,3.2003981395721435
10.0,0.047449534646670025,0.037787664912144345,3.2206231934865315
11.0,0.04726121755639712,0.03743692024548848,3.2747657764434814
12.0,0.04668992615540822,0.03678270205458005,3.302407968012492
