model,short_label,latex_label,geometry,metric_weight,selected_restart,reconstruction_mse,mgw_stress,selection_score,true_sphere_stress,true_distance_correlation,true_10nn_recall,parameters,observation_true_correlation,observation_true_rmse,sensor_count,noise_std
r2_gw,R2+MGW,$\mathbb{R}^2$+MGW,euclidean,0.55,1.0,0.01639850251376629,0.28763797879219055,0.06190308627777746,0.28768038749694824,0.7189728034592543,0.5896666666666667,409909.0,0.9999965405311226,0.0006199550116434693,1024.0,0.006
t2_gw,T2+MGW,$\mathbb{T}^2$+MGW,torus,0.55,1.0,0.0027853648643940687,0.07879627496004105,0.006200233985562184,0.07878676801919937,0.9427712863416403,0.8566666666666669,410295.0,0.9999965405311226,0.0006199550116434693,1024.0,0.006
s2_recon,S2-only,$S^2$ recon-only,sphere,0.0,1.0,0.0008151165093295276,0.011959442868828773,0.0008937820598825562,0.011897929012775421,0.9987303981554323,0.9736666666666668,410102.0,0.9999965405311226,0.0006199550116434693,1024.0,0.006
s2_gw,S2+MGW,$S^2$+MGW,sphere,0.55,0.0,0.0007872986025176942,0.0012532694963738322,0.0007881624789544919,0.0011178787099197507,0.9999887369990192,0.994,410102.0,0.9999965405311226,0.0006199550116434693,1024.0,0.006
