smoothing_lambda,selected_seed,query_relative_rms,normal_dot_q05,negative_normal_fraction,global_face_affine_s_min,passes_q05_and_shape_rule
0.0,1,0.0003860884077872317,-0.8981065541665573,0.27666666666666667,0.9958589030802987,False
0.003,2,0.15937519360906993,0.9615986361657372,0.0033333333333333335,0.4095141033136634,True
0.01,0,0.07461931076800735,0.015389097624749486,0.05,0.4474146424095239,False
0.03,1,0.10576758117961811,0.7381635612009928,0.01,0.4401742410606477,True
0.1,1,0.12371153679628982,0.9906704976161657,0.0,0.43602476373943894,True
