teacher,method,status,minimum_width,minimum_parameter_count,output_rmse_mean,epsilon1_grid_max_mean,delta_cert_mean,distance_distortion_bound_mean,distance_distortion_max_mean,triplet_accuracy_mean,certified_triplet_accuracy_lower_bound_mean
plain,value,pass,32,1480,0.002170213355346577,0.026506012453531513,0.053716485979828144,0.027230034008189907,0.03458550926005118,0.9764539930555555,0.7019314236111112
plain,c1,pass,8,184,0.002699405379283228,0.03375687068712902,0.06865840544305826,0.03494264222551424,0.03440457066253807,0.9764539930555557,0.6046006944444444
warped,value,no_certified_pass,256,69128,0.013082114462418,0.20906849947608086,0.8523217437183276,0.6162234555320646,0.15405084358141133,0.9526909722222223,0.03689236111111111
warped,c1,pass,128,18184,0.0008342039107589666,0.02100816505698419,0.07947133719671207,0.040559627150117815,0.027187293926380047,0.9912109375,0.5389539930555556
