experiment,method,embedding_dimension,selected_seed,vertex_count,face_count,edge_count,query_count,query_fraction,query_relative_rms,query_relative_max,holdout_two_hop_relative_rms,holdout_two_hop_relative_max,edge_max_absolute_residual,edge_max_relative_residual,minimum_target_edge_length,display_delta_over_ell_min,minimum_target_triangle_angle_degrees,minimum_target_normalized_triangle_slack,minimum_display_triangle_angle_degrees,minimum_display_normalized_triangle_slack,global_face_affine_s_min,global_face_affine_s_max,interior_pl_curvature_mass_rmse,interior_pl_curvature_mass_mean_absolute_error,interior_pl_curvature_mass_max_absolute_error,interior_curvature_certificate_delta_mean,interior_curvature_certificate_delta_rms,interior_curvature_certificate_delta_max,edge_graph_all_pairs_distance_rmse,edge_graph_all_pairs_relative_rmse,controlled_aligned_rmse,controlled_aligned_relative_rmse,optimizer_objective,smoothing_lambda,adjacent_normal_dot_q05,negative_adjacent_normal_fraction,mean_normal_bending,minimum_signed_display_to_target_area_ratio,target_positive_curvature_fraction,target_negative_curvature_fraction,reconstructed_positive_curvature_fraction,reconstructed_negative_curvature_fraction,reconstructed_curvature_density_min,reconstructed_curvature_density_max
controlled,scaled_latent_2d,2,0,441,800,1240,14060,0.14491857349000206,0.07351541434794968,0.3485416614091032,nan,nan,0.07962370230337967,0.3485416614091032,0.10000005340927522,0.7962365977696009,28.887975739280634,0.3072186018283124,44.99999999999988,0.5857864376269049,0.6229207208815681,1.0523478541674884,0.04482478822187205,0.02042540643045943,0.33566476650342114,0.4146606516452365,0.5705999931616872,1.7205152831170853,0.05846060799276308,0.049884628684459094,nan,nan,0.005404516146750725,nan,nan,nan,nan,0.6555292839361821,0.40443213296398894,0.5955678670360111,0.0221606648199446,0.10526315789473684,-1.2030199687624894e-13,6.015099843812443e-14
controlled,height_field_3d,3,1,441,800,1240,14060,0.14491857349000206,7.045535207995953e-06,0.000156647035764669,nan,nan,2.3884536467400075e-05,0.000156647035764669,0.10000005340927522,0.00023884523710849073,28.887975739280634,0.3072186018283124,28.888099679501494,0.30722094073134715,0.9998354102966186,1.000054709660813,8.950262747066441e-06,5.283518633560353e-06,5.679270095093614e-05,3.639645300229967e-05,5.5503284236124675e-05,0.00034384425198819013,2.7644927746465693e-06,3.3208315251287096e-06,6.6369440889718185e-06,7.651870763380775e-06,1.919751712160592e-07,nan,0.9640007255480664,0.0,0.008623224921730864,nan,0.40443213296398894,0.5955678670360111,0.3961218836565097,0.6038781163434903,-11.590482503127546,37.33571280458429
controlled,free_3d,3,2,441,800,1240,14060,0.14491857349000206,0.0005237505877108276,0.006565378435880475,nan,nan,0.0003863343565492505,0.00370157097247852,0.10000005340927522,0.0038633415021098096,28.887975739280634,0.3072186018283124,28.90151552162399,0.3065297755407392,0.9978959046189171,1.0049379606066413,0.0011032124163288884,0.0007167831809350603,0.008462802559527027,0.0030516101041830404,0.0035651228104355104,0.009776143248662938,0.0002449159199550649,0.00024443256602331377,0.021061619034372262,0.024282378268993952,2.743397997376465e-07,nan,0.9636555462662666,0.0,0.008813501059400484,nan,0.40443213296398894,0.5955678670360111,0.37119113573407203,0.628808864265928,-11.5253631891239,37.29107139609356
mnist,scaled_latent_2d,2,0,317,608,924,924,0.018448268977358944,0.23203466834214587,1.3488705775932408,0.4090992260853935,2.0666588417977527,0.03743016312135136,1.3488705775932408,0.011081192881905542,3.3778099091182683,24.96688232598567,0.5960166826205974,4.398705354995508,0.039172034550719666,0.18267983304964536,2.348917265189532,0.7718574159146206,0.609183867891532,1.5740701971704878,1.682266866920377,1.7773840956850382,3.3956492964211256,0.030331813770019422,0.16425575571130469,nan,nan,0.05384008731264962,nan,nan,nan,nan,0.22840749583821995,0.5870307167235495,0.4129692832764505,0.22525597269624573,0.1945392491467577,-1.0662261775008745e-11,2.1324523550017474e-11
mnist,free_2d_reference,2,0,317,608,924,924,0.018448268977358944,0.10551546857571979,0.4498398505816806,0.44747907746701115,0.983194170519154,0.023503089941298072,0.4498398505816806,0.011081192881905542,2.120989156291668,24.96688232598567,0.5960166826205974,0.43518194480992684,7.823218400174355e-05,0.010571996136493435,1.5090091588991816,0.8271977509508732,0.6450006429357497,2.9393988663450905,1.219861691098842,1.345559229641664,3.4322351081619713,0.012633544348516854,0.06787847412649245,nan,nan,0.011133514108938699,nan,nan,nan,nan,-1.259524864686215,0.5870307167235495,0.4129692832764505,0.5051194539249146,0.43686006825938567,-10341.743396764374,25564.74501702886
mnist,smooth_3d,3,1,317,608,924,924,0.018448268977358944,0.10576758117961811,0.7174407786846485,0.3976363663635013,1.3258825420547842,0.037484618419591206,0.7174407786846485,0.011081192881905542,3.382724118158774,24.96688232598567,0.5960166826205974,8.105506494974513,0.08953061888165421,0.4401742410606477,1.7294397906735781,0.7331474661804855,0.5842727686921938,1.5811290845891666,0.9236384547046866,0.997078186719256,2.1479942329878963,0.014323637815705496,0.07857027336631975,nan,nan,0.012891813646829219,0.03,0.7381635612009928,0.01,0.05602783672272452,nan,0.5870307167235495,0.4129692832764505,0.3890784982935154,0.6109215017064846,-3479.6093749956335,11648.137122422719
mnist,free_3d,3,1,317,608,924,924,0.018448268977358944,0.0003860884077872317,0.0027953029433170065,0.2748408481669765,0.9649975745979767,6.676956619090096e-05,0.0027953029433170065,0.011081192881905542,0.0060254854240403,24.96688232598567,0.5960166826205974,24.985283998680696,0.5955438218737286,0.9958589030802987,1.0043027828569,0.0029169112465390044,0.0016821063312858105,0.028730034847215258,0.0034281444106024146,0.0048315121015058415,0.028730034847213703,4.617949533736515e-05,0.00024441256511231155,nan,nan,1.4906453264550162e-07,0.0,-0.8981065541665573,0.27666666666666667,0.6703427280065747,nan,0.5870307167235495,0.4129692832764505,0.590443686006826,0.40955631399317405,-4050.1203309620023,9228.413778491866
