shape,relative_edge_noise,seed,stage,alpha,edge_stress,convexity_penalty,local_convex_max_signed
sphere,0.01,0.0,9.0,0.225,3.6385220899923467e-10,0.0,-0.06965581604180385
sphere,0.01,0.0,10.0,0.25,2.6597395678235336e-09,0.0,-0.0694685238376972
sphere,0.01,0.0,11.0,0.275,1.9436556750582185e-10,0.0,-0.06911792486603775
sphere,0.01,0.0,12.0,0.30000000000000004,2.3906876263634888e-09,0.0,-0.06891327266919701
sphere,0.01,0.0,13.0,0.325,7.857414703341904e-09,0.0,-0.06870330914614277
sphere,0.01,0.0,14.0,0.35000000000000003,7.231921696903366e-11,0.0,-0.068331525150986
sphere,0.01,0.0,15.0,0.375,2.1491365984015695e-09,0.0,-0.06811776874457107
sphere,0.01,0.0,16.0,0.4,1.6302940528875884e-10,0.0,-0.06778992729673101
sphere,0.01,0.0,17.0,0.42500000000000004,2.173560387916809e-09,0.0,-0.06759691990964851
sphere,0.01,0.0,18.0,0.45,2.8817204806655825e-10,0.0,-0.06727476970478874
sphere,0.01,0.0,19.0,0.47500000000000003,2.317642288501015e-09,0.0,-0.06708027148217953
sphere,0.01,0.0,20.0,0.5,7.37540882275517e-09,0.0,-0.06686574222274269
sphere,0.01,0.0,21.0,0.525,1.2563003676203766e-10,0.0,-0.06651347505407958
sphere,0.01,0.0,22.0,0.55,2.15684754624927e-09,0.0,-0.06632679637385204
sphere,0.01,0.0,23.0,0.5750000000000001,5.99002060090613e-09,0.0,-0.06609519949932557
sphere,0.01,0.0,24.0,0.6000000000000001,2.426527733053644e-10,0.0,-0.06574811222158838
sphere,0.01,0.0,25.0,0.625,1.953449079275533e-09,0.0,-0.06557362078954469
sphere,0.01,0.0,26.0,0.65,6.174392243391085e-09,0.0,-0.06535425545228593
sphere,0.01,0.0,27.0,0.675,1.2055259869292698e-08,0.0,-0.06516281566695245
sphere,0.01,0.0,28.0,0.7000000000000001,1.5218946631185056e-10,0.0,-0.06479517847946482
sphere,0.01,0.0,29.0,0.7250000000000001,2.0091830258902594e-09,0.0,-0.06462214352392122
