teacher,method,width,repeats,parameter_count_mean,parameter_count_std,output_rmse_mean,output_rmse_std,epsilon1_grid_max_mean,epsilon1_grid_max_std,delta_cert_mean,delta_cert_std,distance_distortion_bound_mean,distance_distortion_bound_std,metric_distortion_max_mean,metric_distortion_max_std,metric_length_distortion_max_mean,metric_length_distortion_max_std,distance_distortion_max_mean,distance_distortion_max_std,distance_distortion_p95_mean,distance_distortion_p95_std,triplet_accuracy_mean,triplet_accuracy_std,hard_triplet_accuracy_mean,hard_triplet_accuracy_std,hard_triplet_fraction_mean,hard_triplet_fraction_std,certified_triplet_accuracy_lower_bound_mean,certified_triplet_accuracy_lower_bound_std,triplet_accuracy_on_certified_subset_mean,triplet_accuracy_on_certified_subset_std,certified_all_distance_pass_mean,certified_all_distance_pass_std,empirical_all_distance_pass_mean,empirical_all_distance_pass_std
plain,c1,4,3,80.0,0.0,0.014268826601528568,0.0012008402687996521,0.11813160112654053,0.00940106928931468,0.25027719750698946,0.021055868156547797,0.13419187506668437,0.012191798009315583,0.2163041713786619,0.015866951662171468,0.10802676398867388,0.013515576604707352,0.08671654271847855,0.013148379733873292,0.033700754359944456,0.0012480096673862869,0.9657118055555557,0.001670443176903303,0.9412202380952381,0.002863616874691368,0.5833333333333334,0.0,0.3113064236111111,0.014595293257361228,1.0,0.0,0.0,0.0,0.0,0.0
plain,c1,8,3,184.0,0.0,0.002699405379283228,0.0002633938565021407,0.03375687068712902,0.0027760809280372597,0.06865840544305826,0.005738554102805057,0.03494264222551424,0.0029725651220517645,0.043852714597671594,0.004058702701719829,0.02215377028079975,0.0021071683110805957,0.03440457066253807,0.002809623830410404,0.02391583604526627,0.00026724220504740516,0.9764539930555557,0.0004972412863450307,0.9596354166666666,0.0008524136337343816,0.5833333333333334,0.0,0.6046006944444444,0.03825158363079932,1.0,0.0,1.0,0.0,1.0,0.0
plain,c1,16,3,488.0,0.0,0.0014631443652085546,6.217016875443891e-05,0.019556595009567933,0.00148349445933138,0.0394971175980447,0.0030262702950649236,0.019948321864972047,0.0015446294074345193,0.0320091462466936,0.0006045738538257173,0.01596534735914675,0.0003821881592565209,0.03222252331508849,0.002509473975299032,0.024033972014244936,0.0002539145607916997,0.9762369791666666,0.0005638186222554939,0.9592633928571429,0.0009665462095808833,0.5833333333333334,0.0,0.7849392361111112,0.015324853367415459,1.0,0.0,1.0,0.0,1.0,0.0
plain,c1,32,3,1480.0,0.0,0.000899898877814959,3.810840896473876e-05,0.013108164071553298,0.0007914540318232678,0.026388569708089685,0.001603324567807082,0.013282720111833513,0.0008122764381851341,0.021881211798305083,0.0038357155394904714,0.010913206113745614,0.0018758492601767,0.03033930118691086,0.0012335181299956543,0.024110030149658915,3.360061498444038e-05,0.9766710069444445,0.00018793954075185267,0.9600074404761904,0.00032218206986027307,0.5833333333333334,0.0,0.8559027777777777,0.006162009923828409,0.9997454010791067,0.00022048943474595398,1.0,0.0,1.0,0.0
plain,c1,64,3,5000.0,0.0,0.0005291668780944,3.008729405098764e-06,0.00768152269629228,0.00035940061254838756,0.015422137296051746,0.0007243969110234446,0.0077410751942012706,0.000365062710754478,0.011331780504589347,0.00017095384767991796,0.005660488807706421,7.99520638068735e-05,0.027157356723888675,0.0005775880777637337,0.024255138266171122,7.240609506423304e-05,0.9768880208333334,0.0,0.9603794642857143,0.0,0.5833333333333334,0.0,0.9219835069444445,0.0037587908150366685,0.9964709689191614,0.0005985493924780621,1.0,0.0,1.0,0.0
plain,c1,128,3,18184.0,0.0,0.0002643102000123129,1.979981202413176e-05,0.004034366108028139,0.0001601550117750031,0.008085025425701749,0.00032159480811434505,0.004050725590196221,0.00016144759310942705,0.006262212792907655,0.0007013297997571633,0.00313358359351897,0.0003560084680577,0.025536110046892862,0.00018275024562794474,0.02441788059317356,4.0069675416638856e-05,0.977322048611111,0.00018793954075185267,0.9611235119047619,0.00032218206986027307,0.5833333333333334,0.0,0.9606119791666666,0.0016914558667664816,0.9893830261488082,0.0007631122756803808,1.0,0.0,1.0,0.0
plain,c1,256,3,69128.0,0.0,0.00017861041673108288,4.3441830083707896e-06,0.002717860623577626,0.00012937754053954928,0.005443119172556444,0.00025944910144610133,0.002725278798323072,0.00013007436988435393,0.003970904544920921,0.00043701961088564136,0.0019862784532893953,0.00021989472181486774,0.02554209372830633,0.0002850445242551671,0.024500075602489225,4.470921604460596e-05,0.9772135416666666,0.0,0.9609375,0.0,0.5833333333333334,0.0,0.9776475694444445,0.001988965145380147,0.9844618635014459,0.00016978572090364748,1.0,0.0,1.0,0.0
plain,value,4,3,80.0,0.0,0.024280176064997657,0.0008938418266397694,0.22006983578397618,0.008745382653682965,0.48862139200177807,0.02134867968521542,0.28499676002409996,0.014948653226328828,0.397355330065481,0.02016627207576263,0.1992356998340372,0.024256592233836975,0.1554233044505249,0.01036563196141641,0.059859774638399275,0.0021942051015316454,0.9346788194444443,0.005546604999623278,0.8880208333333334,0.00950846571363991,0.5833333333333334,0.0,0.18218315972222224,0.011069303908679806,1.0,0.0,0.0,0.0,0.0,0.0
plain,value,8,3,184.0,0.0,0.008864958252377283,0.0002741992929029243,0.09139307380362181,0.01166851079469568,0.19122961097596183,0.025423469231764834,0.10075706037047034,0.014099178193085876,0.1675985942406505,0.02799120181640755,0.08210812210242084,0.010512449161962098,0.07118166956902565,0.011722020555102118,0.030130931087347726,0.0008831030914546342,0.9751519097222222,0.006144789555020753,0.9574032738095238,0.010533924951464105,0.5833333333333334,0.0,0.3534071180555556,0.018472650024253356,1.0,0.0,0.0,0.0,0.0,0.0
plain,value,16,3,488.0,0.0,0.004202707804306423,9.593150404129724e-05,0.0475461392732048,0.003248709383801034,0.09735994998130353,0.006801208622876732,0.04993077905595178,0.0035760523204472366,0.0762955308399366,0.0016449726104443806,0.037920116353051404,0.0007985535003314776,0.04204179751518929,0.0036744019162751585,0.024453280132007895,0.00014944969347007828,0.9771050347222222,0.0008192094656327112,0.9607514880952381,0.0014043590839416917,0.5833333333333334,0.0,0.43608940972222227,0.035920059960357804,1.0,0.0,0.3333333333333333,0.5773502691896258,1.0,0.0
