experiment,method,selected_seed,step,objective
controlled,height_field_3d,1,70,0.0013750961748453328
controlled,height_field_3d,1,80,0.0011203455400618863
controlled,height_field_3d,1,90,0.00088122991262610075
controlled,height_field_3d,1,100,0.00068402984779950221
controlled,height_field_3d,1,110,0.00049360246749494184
controlled,height_field_3d,1,120,0.000359665326222886
controlled,height_field_3d,1,130,0.00025951088458142061
controlled,height_field_3d,1,140,0.00019096826527272085
controlled,height_field_3d,1,150,0.00014329558652769457
controlled,height_field_3d,1,160,0.00010434559287454489
controlled,height_field_3d,1,170,7.5976653195858194e-05
controlled,height_field_3d,1,180,5.6312798549891447e-05
controlled,height_field_3d,1,190,4.3863494283009952e-05
controlled,height_field_3d,1,200,3.8349406064746438e-05
controlled,height_field_3d,1,210,3.4799358618851883e-05
controlled,height_field_3d,1,220,3.2174133261327456e-05
controlled,height_field_3d,1,230,2.9730595013512868e-05
controlled,height_field_3d,1,240,2.7219144416016792e-05
controlled,height_field_3d,1,250,2.4357037844499579e-05
controlled,height_field_3d,1,260,2.1116572677596112e-05
controlled,height_field_3d,1,270,1.7715550023496132e-05
controlled,height_field_3d,1,280,1.4239155120934989e-05
controlled,height_field_3d,1,290,1.0933753885107852e-05
controlled,height_field_3d,1,300,7.8406053459340979e-06
controlled,height_field_3d,1,310,5.125424177741851e-06
controlled,height_field_3d,1,320,3.1251691968520832e-06
controlled,height_field_3d,1,330,1.8252071845233534e-06
controlled,height_field_3d,1,340,1.0321017805440041e-06
controlled,height_field_3d,1,350,6.0940561788798147e-07
controlled,height_field_3d,1,360,3.9901206185634542e-07
controlled,height_field_3d,1,370,2.9366643997239992e-07
controlled,height_field_3d,1,380,2.4274895016063586e-07
controlled,height_field_3d,1,390,2.1797487942478888e-07
controlled,height_field_3d,1,400,2.0581829409217635e-07
controlled,height_field_3d,1,410,1.9949132908642256e-07
controlled,height_field_3d,1,420,1.9607287153579921e-07
controlled,height_field_3d,1,430,1.9419300069016583e-07
controlled,height_field_3d,1,440,1.931618832830382e-07
controlled,height_field_3d,1,450,1.9260043645304681e-07
controlled,height_field_3d,1,460,1.9229897320742659e-07
controlled,height_field_3d,1,470,1.921399602233337e-07
controlled,height_field_3d,1,480,1.9205763158067097e-07
controlled,height_field_3d,1,490,1.9201573691047729e-07
controlled,height_field_3d,1,500,1.9199478368187296e-07
controlled,height_field_3d,1,510,1.9198448448399062e-07
controlled,height_field_3d,1,520,1.9197951172796487e-07
controlled,height_field_3d,1,530,1.919771543976965e-07
controlled,height_field_3d,1,540,1.9197605845296844e-07
controlled,height_field_3d,1,550,1.919755593713801e-07
controlled,height_field_3d,1,560,1.9197533704245345e-07
controlled,height_field_3d,1,570,1.9197524028431761e-07
controlled,height_field_3d,1,580,1.9197519920978468e-07
controlled,height_field_3d,1,590,1.9197518223150868e-07
controlled,height_field_3d,1,600,1.9197517541225215e-07
controlled,height_field_3d,1,610,1.9197517275782991e-07
controlled,height_field_3d,1,620,1.9197517175983589e-07
controlled,height_field_3d,1,630,1.91975171398993e-07
controlled,height_field_3d,1,640,1.9197517127424318e-07
controlled,height_field_3d,1,650,1.9197517123333228e-07
controlled,height_field_3d,1,660,1.919751712207504e-07
controlled,height_field_3d,1,670,1.919751712171854e-07
controlled,height_field_3d,1,680,1.9197517121628272e-07
controlled,height_field_3d,1,690,1.9197517121609077e-07
controlled,height_field_3d,1,700,1.919751712160608e-07
controlled,height_field_3d,1,710,1.9197517121606064e-07
controlled,height_field_3d,1,720,1.9197517121606085e-07
controlled,height_field_3d,1,730,1.9197517121606056e-07
controlled,height_field_3d,1,740,1.9197517121606051e-07
controlled,height_field_3d,1,750,1.9197517121606014e-07
controlled,height_field_3d,1,760,1.9197517121606019e-07
controlled,height_field_3d,1,770,1.9197517121605961e-07
controlled,height_field_3d,1,780,1.9197517121605982e-07
controlled,height_field_3d,1,790,1.9197517121605998e-07
controlled,height_field_3d,1,800,1.9197517121605982e-07
controlled,height_field_3d,1,810,1.9197517121605974e-07
controlled,height_field_3d,1,820,1.9197517121615472e-07
controlled,height_field_3d,1,830,1.9197517178597114e-07
controlled,height_field_3d,1,840,1.9198219356461757e-07
controlled,height_field_3d,1,850,3.4829702207608941e-07
controlled,height_field_3d,1,860,5.8337990705838668e-07
controlled,height_field_3d,1,870,3.0554789676219457e-07
controlled,height_field_3d,1,880,9.6246714476773894e-07
controlled,height_field_3d,1,890,2.92327052210248e-07
controlled,height_field_3d,1,900,2.5071308282570514e-07
controlled,height_field_3d,1,910,2.0677344135163348e-07
controlled,height_field_3d,1,920,1.9561983541372545e-07
controlled,height_field_3d,1,930,1.9478195510217221e-07
controlled,height_field_3d,1,940,1.9263116371630803e-07
controlled,height_field_3d,1,950,1.9242740873934121e-07
controlled,height_field_3d,1,960,1.9201720180489169e-07
controlled,height_field_3d,1,970,1.9199640332680485e-07
controlled,height_field_3d,1,980,1.9199226314371284e-07
controlled,height_field_3d,1,990,1.9198303102057722e-07
controlled,height_field_3d,1,1000,1.9197724532296052e-07
controlled,height_field_3d,1,1010,1.9197538323757613e-07
controlled,height_field_3d,1,1020,1.9197546052977644e-07
controlled,height_field_3d,1,1030,1.9197521459656976e-07
controlled,height_field_3d,1,1040,1.9197522517687537e-07
controlled,height_field_3d,1,1050,1.9197517977313815e-07
controlled,height_field_3d,1,1060,1.9197517601983222e-07
controlled,height_field_3d,1,1070,1.9197517345826308e-07
controlled,height_field_3d,1,1080,1.91975171293491e-07
controlled,height_field_3d,1,1090,1.9197517136946895e-07
controlled,height_field_3d,1,1100,1.9197517132541368e-07
controlled,height_field_3d,1,1110,1.9197517172733584e-07
controlled,height_field_3d,1,1120,1.9197523579422534e-07
controlled,height_field_3d,1,1130,1.919980274723936e-07
controlled,height_field_3d,1,1140,2.1018502707770656e-07
controlled,height_field_3d,1,1150,2.4466075755739185e-07
controlled,height_field_3d,1,1160,2.8339052845706365e-07
controlled,height_field_3d,1,1170,2.1507987462554247e-07
controlled,height_field_3d,1,1180,1.9993575183127612e-07
controlled,height_field_3d,1,1190,1.1737031407264437e-06
controlled,height_field_3d,1,1199,6.104264329680194e-07
controlled,height_field_3d,1,1200,1.9197517121605919e-07
controlled,height_field_3d,1,1201,1.9197517121605919e-07
controlled,free_3d,2,0,0.045083647892826768
controlled,free_3d,2,10,0.0068809440501788003
controlled,free_3d,2,20,0.0026031411204176388
controlled,free_3d,2,30,0.0010364110633167586
controlled,free_3d,2,40,0.00043396804598304524
controlled,free_3d,2,50,0.00020489037805992101
controlled,free_3d,2,60,0.00012023940067453195
controlled,free_3d,2,70,8.2270011289226928e-05
controlled,free_3d,2,80,6.5967162219491936e-05
controlled,free_3d,2,90,5.7657012525054758e-05
controlled,free_3d,2,100,5.255570518996087e-05
controlled,free_3d,2,110,4.8835317490649401e-05
controlled,free_3d,2,120,4.5716304525372645e-05
controlled,free_3d,2,130,4.2954391029787891e-05
controlled,free_3d,2,140,4.0404693806978918e-05
controlled,free_3d,2,150,3.8006554534241404e-05
controlled,free_3d,2,160,3.5726695378045202e-05
controlled,free_3d,2,170,3.3553628327261967e-05
controlled,free_3d,2,180,3.1710579565142365e-05
controlled,free_3d,2,190,2.966725731724098e-05
controlled,free_3d,2,200,2.9040975071757714e-05
controlled,free_3d,2,210,2.706884292019104e-05
controlled,free_3d,2,220,2.4332596791801073e-05
controlled,free_3d,2,230,2.2530934969512002e-05
controlled,free_3d,2,240,2.0815724252321378e-05
controlled,free_3d,2,250,1.9287371735782402e-05
controlled,free_3d,2,260,2.1106409581127072e-05
controlled,free_3d,2,270,1.7110253631859917e-05
controlled,free_3d,2,280,1.8923383955625576e-05
controlled,free_3d,2,290,1.5375787480073362e-05
controlled,free_3d,2,300,1.367848837785969e-05
controlled,free_3d,2,310,1.2955818868654222e-05
controlled,free_3d,2,320,1.2417933600284822e-05
controlled,free_3d,2,330,1.1536353091633264e-05
controlled,free_3d,2,340,9.8985499256528421e-06
controlled,free_3d,2,350,9.3871800511747279e-06
controlled,free_3d,2,360,1.1284568874389544e-05
controlled,free_3d,2,370,9.6247863129930445e-06
controlled,free_3d,2,380,8.29301702275987e-06
controlled,free_3d,2,390,8.915835335416881e-06
controlled,free_3d,2,400,8.6211926215005346e-06
controlled,free_3d,2,410,7.9767505746525314e-06
controlled,free_3d,2,420,7.3221532593154079e-06
controlled,free_3d,2,430,7.4785774427605382e-06
controlled,free_3d,2,440,9.665776295662367e-06
controlled,free_3d,2,450,1.0266277796816152e-05
controlled,free_3d,2,460,7.465536447556829e-06
controlled,free_3d,2,470,6.154508736702793e-06
controlled,free_3d,2,480,6.8730126795316148e-06
controlled,free_3d,2,490,1.0671462004224176e-05
controlled,free_3d,2,500,1.257616101246181e-05
controlled,free_3d,2,510,9.9151476753472627e-06
controlled,free_3d,2,520,6.2916210360277409e-06
controlled,free_3d,2,530,5.7023444551886152e-06
controlled,free_3d,2,540,4.6150166584066969e-06
controlled,free_3d,2,550,4.668868040396245e-06
controlled,free_3d,2,560,1.0179474555462555e-05
controlled,free_3d,2,570,1.0964178994548947e-05
controlled,free_3d,2,580,1.1346465333249365e-05
controlled,free_3d,2,590,9.9027909000302712e-06
controlled,free_3d,2,600,6.4763595053347638e-06
controlled,free_3d,2,610,5.7620593515916837e-06
controlled,free_3d,2,620,8.3568819760379719e-06
controlled,free_3d,2,630,9.8116278079215295e-06
controlled,free_3d,2,640,1.5735433536269521e-05
controlled,free_3d,2,650,9.5547113888357687e-06
controlled,free_3d,2,660,9.9460053623238892e-06
controlled,free_3d,2,670,7.3509485905516332e-06
controlled,free_3d,2,680,1.4003464730227691e-05
controlled,free_3d,2,690,1.490702023427814e-05
controlled,free_3d,2,700,6.7979537258927648e-06
controlled,free_3d,2,710,1.0813303723703019e-05
controlled,free_3d,2,720,8.3437120123048245e-06
controlled,free_3d,2,730,1.0711018818937356e-05
controlled,free_3d,2,740,1.2332962976239639e-05
controlled,free_3d,2,750,1.0515347294592725e-05
controlled,free_3d,2,760,8.715998130278799e-06
controlled,free_3d,2,770,8.6075112865882854e-06
controlled,free_3d,2,780,1.5976436481123022e-05
controlled,free_3d,2,790,2.2561089094912559e-05
controlled,free_3d,2,800,1.2892496459343729e-05
controlled,free_3d,2,810,1.3296657732759094e-05
controlled,free_3d,2,820,8.6030749469428885e-06
controlled,free_3d,2,830,1.4988429391191802e-05
controlled,free_3d,2,840,1.2925389340418035e-05
controlled,free_3d,2,850,1.4315567935142228e-05
controlled,free_3d,2,860,1.2633672133394647e-05
controlled,free_3d,2,870,1.5123320561816137e-05
controlled,free_3d,2,880,1.4083761144121203e-05
controlled,free_3d,2,890,9.7824661477869936e-06
controlled,free_3d,2,900,1.2003809441149453e-05
controlled,free_3d,2,910,3.0397587784529664e-05
controlled,free_3d,2,920,2.4424480587878533e-05
controlled,free_3d,2,930,1.3925978980118461e-05
controlled,free_3d,2,940,1.1019839429976181e-05
controlled,free_3d,2,950,7.5373297327220826e-06
controlled,free_3d,2,960,2.1412821389305843e-05
controlled,free_3d,2,970,3.1594536142517761e-05
controlled,free_3d,2,980,1.6068757955071122e-05
controlled,free_3d,2,990,1.7521593938682138e-05
controlled,free_3d,2,1000,1.5619228467830636e-05
controlled,free_3d,2,1010,1.5183107003744959e-05
controlled,free_3d,2,1020,1.7320682849529173e-05
controlled,free_3d,2,1030,2.3217828694709362e-05
controlled,free_3d,2,1040,1.6189427642922661e-05
controlled,free_3d,2,1050,2.6859448159607357e-05
controlled,free_3d,2,1060,2.5269683660803209e-05
controlled,free_3d,2,1070,1.2802365377092533e-05
controlled,free_3d,2,1080,1.1324795202813149e-05
controlled,free_3d,2,1090,9.176438425791531e-06
controlled,free_3d,2,1100,3.5600579808749323e-05
controlled,free_3d,2,1110,3.2168035441801133e-05
controlled,free_3d,2,1120,1.5951586196106288e-05
controlled,free_3d,2,1130,2.1489023532793339e-05
controlled,free_3d,2,1140,1.888276164472371e-05
controlled,free_3d,2,1150,2.0256818018952259e-05
controlled,free_3d,2,1160,1.858213020891172e-05
controlled,free_3d,2,1170,8.5986483106703116e-06
controlled,free_3d,2,1180,1.1848302532187831e-05
controlled,free_3d,2,1190,4.6155318795733153e-05
controlled,free_3d,2,1199,3.834303699712659e-05
controlled,free_3d,2,1200,4.0214676101311423e-06
controlled,free_3d,2,1205,2.7851660844684073e-06
controlled,free_3d,2,1210,2.7149357794782131e-06
controlled,free_3d,2,1215,2.5717952304253337e-06
controlled,free_3d,2,1220,2.4635550027628438e-06
controlled,free_3d,2,1225,2.3115503428147992e-06
controlled,free_3d,2,1230,2.0634017086071289e-06
controlled,free_3d,2,1235,1.8191222599802132e-06
controlled,free_3d,2,1240,1.6554941132900732e-06
controlled,free_3d,2,1245,1.534636475932409e-06
controlled,free_3d,2,1250,1.4427634130345324e-06
controlled,free_3d,2,1255,1.3738584621070779e-06
controlled,free_3d,2,1260,1.3298386924525542e-06
controlled,free_3d,2,1265,1.2974036971521303e-06
controlled,free_3d,2,1270,1.2591271913913193e-06
controlled,free_3d,2,1275,1.2218655908829489e-06
controlled,free_3d,2,1280,1.1830379264620771e-06
controlled,free_3d,2,1285,1.138363288757016e-06
controlled,free_3d,2,1290,1.1005293514736423e-06
controlled,free_3d,2,1295,1.0621285278615299e-06
controlled,free_3d,2,1300,1.0270651372844781e-06
controlled,free_3d,2,1305,9.8858463090688312e-07
controlled,free_3d,2,1310,9.5106910557066975e-07
controlled,free_3d,2,1315,9.0951210304555756e-07
controlled,free_3d,2,1320,8.655745599870862e-07
controlled,free_3d,2,1325,8.218918073832075e-07
controlled,free_3d,2,1330,7.834041972659735e-07
controlled,free_3d,2,1335,7.4232609004427617e-07
controlled,free_3d,2,1340,6.9985086286768627e-07
controlled,free_3d,2,1345,6.6031439170947941e-07
controlled,free_3d,2,1350,6.2829336470310886e-07
controlled,free_3d,2,1355,6.0067135839894542e-07
controlled,free_3d,2,1360,5.7381187323348219e-07
controlled,free_3d,2,1365,5.49707921285606e-07
controlled,free_3d,2,1370,5.2428676898618285e-07
controlled,free_3d,2,1375,5.0175631021813134e-07
controlled,free_3d,2,1380,4.7795755557812847e-07
controlled,free_3d,2,1385,4.5348238861327397e-07
controlled,free_3d,2,1390,4.2700462698874357e-07
controlled,free_3d,2,1395,4.0275843656396166e-07
controlled,free_3d,2,1400,3.7554720467564808e-07
controlled,free_3d,2,1405,3.443095493995169e-07
controlled,free_3d,2,1410,3.2015511893251827e-07
controlled,free_3d,2,1415,2.976420153373474e-07
controlled,free_3d,2,1420,2.7836755358512505e-07
controlled,free_3d,2,1422,2.743397997376465e-07
mnist,scaled_latent_2d,0,0,0.056519399688556481
mnist,scaled_latent_2d,0,10,0.053935317902152814
mnist,scaled_latent_2d,0,20,0.05384723606103909
mnist,scaled_latent_2d,0,30,0.053840380942983157
mnist,scaled_latent_2d,0,40,0.053846661474283429
mnist,scaled_latent_2d,0,50,0.053847711893260763
mnist,scaled_latent_2d,0,60,0.053842449795562436
mnist,scaled_latent_2d,0,70,0.053840087500614489
mnist,scaled_latent_2d,0,80,0.053840439150946974
mnist,scaled_latent_2d,0,90,0.053840137452509818
mnist,scaled_latent_2d,0,100,0.053840117558388516
mnist,scaled_latent_2d,0,110,0.053840094938277738
mnist,scaled_latent_2d,0,120,0.053840092328053563
mnist,scaled_latent_2d,0,130,0.05384008749368005
mnist,scaled_latent_2d,0,140,0.053840088168352923
mnist,scaled_latent_2d,0,150,0.053840087398246701
mnist,scaled_latent_2d,0,160,0.053840087333299369
mnist,scaled_latent_2d,0,170,0.053840087349688211
mnist,scaled_latent_2d,0,180,0.053840087321741739
mnist,scaled_latent_2d,0,190,0.0538400873128667
mnist,scaled_latent_2d,0,200,0.05384008731296467
mnist,scaled_latent_2d,0,210,0.053840087313089542
mnist,scaled_latent_2d,0,220,0.053840087312863917
mnist,scaled_latent_2d,0,230,0.053840087312716056
mnist,scaled_latent_2d,0,240,0.053840087312665132
mnist,scaled_latent_2d,0,250,0.053840087312652586
mnist,scaled_latent_2d,0,260,0.053840087312650109
mnist,scaled_latent_2d,0,270,0.053840087312649706
mnist,scaled_latent_2d,0,280,0.053840087312649651
mnist,scaled_latent_2d,0,290,0.053840087312649644
mnist,scaled_latent_2d,0,300,0.053840087312649644
mnist,scaled_latent_2d,0,310,0.053840087312649644
mnist,scaled_latent_2d,0,320,0.053840087312649637
mnist,scaled_latent_2d,0,330,0.053840087312649644
mnist,scaled_latent_2d,0,340,0.053840087312649644
mnist,scaled_latent_2d,0,350,0.053840087312649644
mnist,scaled_latent_2d,0,360,0.05384008731264963
mnist,scaled_latent_2d,0,370,0.053840087312649644
mnist,scaled_latent_2d,0,380,0.053840087312649644
mnist,scaled_latent_2d,0,390,0.053840087312649637
mnist,scaled_latent_2d,0,400,0.053840087312649623
mnist,scaled_latent_2d,0,410,0.053840087312649644
mnist,scaled_latent_2d,0,420,0.05384008731264963
mnist,scaled_latent_2d,0,430,0.053840087312649644
mnist,scaled_latent_2d,0,440,0.053840087312649644
mnist,scaled_latent_2d,0,450,0.05384008731264963
mnist,scaled_latent_2d,0,460,0.05384008731264963
mnist,scaled_latent_2d,0,470,0.053840087312649644
mnist,scaled_latent_2d,0,480,0.05384008731264963
mnist,scaled_latent_2d,0,490,0.05384008731264963
mnist,scaled_latent_2d,0,500,0.053840087312649644
mnist,scaled_latent_2d,0,510,0.053840087312649637
mnist,scaled_latent_2d,0,520,0.053840087312649644
mnist,scaled_latent_2d,0,530,0.053840087312649644
mnist,scaled_latent_2d,0,540,0.053840087312649644
mnist,scaled_latent_2d,0,550,0.053840087312649644
mnist,scaled_latent_2d,0,560,0.053840087312649637
mnist,scaled_latent_2d,0,570,0.05384008731264963
mnist,scaled_latent_2d,0,580,0.053840087312649644
mnist,scaled_latent_2d,0,590,0.053840087312649644
mnist,scaled_latent_2d,0,600,0.053840087312649644
mnist,scaled_latent_2d,0,610,0.053840087312649644
mnist,scaled_latent_2d,0,620,0.053840087312649644
mnist,scaled_latent_2d,0,630,0.053840087312649644
mnist,scaled_latent_2d,0,640,0.053840087312649644
mnist,scaled_latent_2d,0,650,0.053840087312649644
mnist,scaled_latent_2d,0,660,0.053840087312649644
mnist,scaled_latent_2d,0,670,0.053840087312649644
mnist,scaled_latent_2d,0,680,0.053840087312649644
mnist,scaled_latent_2d,0,690,0.053840087312649644
mnist,scaled_latent_2d,0,700,0.053840087312649644
mnist,scaled_latent_2d,0,710,0.053840087312649644
mnist,scaled_latent_2d,0,720,0.053840087312649644
mnist,scaled_latent_2d,0,730,0.053840087312649644
mnist,scaled_latent_2d,0,740,0.053840087312649644
mnist,scaled_latent_2d,0,750,0.053840087312649644
mnist,scaled_latent_2d,0,760,0.053840087312649644
mnist,scaled_latent_2d,0,770,0.053840087312649644
mnist,scaled_latent_2d,0,780,0.053840087312649644
mnist,scaled_latent_2d,0,790,0.053840087312649644
mnist,scaled_latent_2d,0,800,0.053840087312649644
mnist,scaled_latent_2d,0,810,0.053840087312649644
mnist,scaled_latent_2d,0,820,0.053840087312649644
mnist,scaled_latent_2d,0,830,0.053840087312649644
mnist,scaled_latent_2d,0,840,0.053840087312649644
mnist,scaled_latent_2d,0,850,0.053840087312649644
mnist,scaled_latent_2d,0,860,0.053840087312649644
mnist,scaled_latent_2d,0,870,0.053840087312649644
mnist,scaled_latent_2d,0,880,0.053840087312649644
mnist,scaled_latent_2d,0,890,0.053840087312649644
mnist,scaled_latent_2d,0,899,0.053840087312649644
mnist,scaled_latent_2d,0,900,0.053840087312649623
mnist,scaled_latent_2d,0,901,0.053840087312649623
mnist,free_2d_reference,0,0,0.047007630661620364
mnist,free_2d_reference,0,10,1.3434182771017891
mnist,free_2d_reference,0,20,0.17966458132291313
mnist,free_2d_reference,0,30,0.1024945995292388
mnist,free_2d_reference,0,40,0.053757412940362258
mnist,free_2d_reference,0,50,0.030322289840568988
mnist,free_2d_reference,0,60,0.0209338176147521
mnist,free_2d_reference,0,70,0.016894175371782231
mnist,free_2d_reference,0,80,0.015432842722669664
mnist,free_2d_reference,0,90,0.014791661571247302
mnist,free_2d_reference,0,100,0.014477848790508572
mnist,free_2d_reference,0,110,0.01418164917729945
mnist,free_2d_reference,0,120,0.014015694892353867
mnist,free_2d_reference,0,130,0.01391902330337577
mnist,free_2d_reference,0,140,0.013845934409426049
mnist,free_2d_reference,0,150,0.013769138853446205
mnist,free_2d_reference,0,160,0.013729569121399849
mnist,free_2d_reference,0,170,0.013704682484300438
mnist,free_2d_reference,0,180,0.013632839566917552
mnist,free_2d_reference,0,190,0.013381109282797257
mnist,free_2d_reference,0,200,0.013203747097143517
mnist,free_2d_reference,0,210,0.013138907428841813
mnist,free_2d_reference,0,220,0.013109905838725937
mnist,free_2d_reference,0,230,0.013092038700598763
mnist,free_2d_reference,0,240,0.013068035146211472
mnist,free_2d_reference,0,250,0.012942018308637842
mnist,free_2d_reference,0,260,0.012907149437589215
mnist,free_2d_reference,0,270,0.012891246961702123
mnist,free_2d_reference,0,280,0.012882947254427273
mnist,free_2d_reference,0,290,0.012878342838940142
mnist,free_2d_reference,0,300,0.012875421896474511
mnist,free_2d_reference,0,310,0.012873333733426398
mnist,free_2d_reference,0,320,0.012871850054210451
mnist,free_2d_reference,0,330,0.012894344268627208
