model,true_sphere_distance,learned_distance
r2_gw,0.1290014684200287,0.06801464408636093
r2_gw,0.8583335876464844,0.5709115862846375
r2_gw,0.9503195285797119,0.6008602380752563
r2_gw,0.3826710879802704,0.05112699046730995
r2_gw,0.8555951118469238,0.4996609687805176
r2_gw,0.07347273826599121,0.20472873747348785
r2_gw,0.8342239856719971,0.5222519636154175
r2_gw,0.8862772583961487,0.5741779208183289
r2_gw,0.5515425801277161,0.3300625681877136
r2_gw,0.36314618587493896,0.2012995481491089
r2_gw,0.9069039821624756,0.32581499218940735
r2_gw,0.3928886950016022,0.2550296187400818
r2_gw,0.29599878191947937,0.576395571231842
r2_gw,0.44127562642097473,0.5127716064453125
r2_gw,0.5375434756278992,0.4862681031227112
r2_gw,0.9530013203620911,0.6330748200416565
r2_gw,0.969535231590271,0.5604405403137207
r2_gw,0.5054160356521606,0.3539927303791046
r2_gw,0.9472982883453369,0.6596171259880066
r2_gw,0.9972625374794006,0.631373941898346
r2_gw,0.8536354899406433,0.41461119055747986
r2_gw,0.6847143173217773,0.516773521900177
r2_gw,0.7692548036575317,0.4481367766857147
r2_gw,0.8821447491645813,0.6637255549430847
r2_gw,0.8908973932266235,0.6119239330291748
r2_gw,0.6859763860702515,0.4210665822029114
r2_gw,0.7653529047966003,0.6033145189285278
r2_gw,0.45938071608543396,0.12461525946855545
r2_gw,0.9708338379859924,0.7171833515167236
r2_gw,0.9334442615509033,0.566474199295044
r2_gw,0.9925190806388855,0.6715154647827148
r2_gw,0.7689676880836487,0.5457145571708679
r2_gw,0.9236412048339844,0.6827125549316406
r2_gw,0.8668266534805298,0.49284619092941284
r2_gw,0.47484132647514343,0.5544726252555847
r2_gw,0.4563141167163849,0.2781020700931549
r2_gw,0.7155695557594299,0.6427922248840332
r2_gw,0.7664200067520142,0.5453182458877563
r2_gw,0.7341088056564331,0.3381810188293457
r2_gw,0.9689866304397583,0.7110818028450012
r2_gw,0.825162410736084,0.528654932975769
r2_gw,0.8172913193702698,0.44018352031707764
r2_gw,0.8770059943199158,0.24975603818893433
r2_gw,0.8172413110733032,0.5329150557518005
r2_gw,0.943508505821228,0.4453785717487335
r2_gw,0.9397236704826355,0.6063418388366699
r2_gw,0.9894334673881531,0.6694672703742981
r2_gw,0.9523788094520569,0.2613249123096466
r2_gw,0.9077335596084595,0.5064191222190857
r2_gw,0.40608564019203186,0.5069451928138733
r2_gw,0.932721734046936,0.4863264560699463
r2_gw,0.23985427618026733,0.1325247883796692
r2_gw,0.908941388130188,0.5895824432373047
r2_gw,0.6347121000289917,0.4435221552848816
r2_gw,0.4487813711166382,0.27400830388069153
r2_gw,0.8137483596801758,0.3407948911190033
r2_gw,0.8236910700798035,0.5712746977806091
r2_gw,0.8187744617462158,0.3892526924610138
r2_gw,0.5644492506980896,0.42557772994041443
r2_gw,0.8871826529502869,0.6103318333625793
r2_gw,0.4184316396713257,0.2133743315935135
r2_gw,0.9023610353469849,0.787434995174408
r2_gw,0.807108998298645,0.5785602331161499
r2_gw,0.5486050844192505,0.23525147140026093
r2_gw,0.9131003618240356,0.4162918031215668
r2_gw,0.6806070804595947,0.2613960802555084
r2_gw,0.4446406662464142,0.3187466859817505
r2_gw,0.7615380883216858,0.49845656752586365
r2_gw,0.9704024195671082,0.7101703882217407
r2_gw,0.660000741481781,0.39440080523490906
r2_gw,0.8598306775093079,0.5898922085762024
r2_gw,0.519032895565033,0.29328468441963196
r2_gw,0.8360735177993774,0.5029674172401428
r2_gw,0.9246771931648254,0.6763014793395996
r2_gw,0.688601016998291,0.46595513820648193
r2_gw,0.4596917927265167,0.27534449100494385
r2_gw,0.6962971091270447,0.6772295832633972
r2_gw,0.7079659700393677,0.27530455589294434
r2_gw,0.7445274591445923,0.3422260284423828
r2_gw,0.9777745008468628,0.6280193328857422
r2_gw,0.7669100761413574,0.7069500684738159
r2_gw,0.6839743852615356,0.4301096498966217
r2_gw,0.7823293209075928,0.2619992196559906
r2_gw,0.667309045791626,0.4647611975669861
r2_gw,0.4086846113204956,0.6640545129776001
r2_gw,0.16379188001155853,0.08071072399616241
r2_gw,0.8468252420425415,0.550890326499939
r2_gw,0.926785409450531,0.7435101270675659
r2_gw,0.754675567150116,0.4416951835155487
r2_gw,0.9593108892440796,0.7733983993530273
r2_gw,0.48112279176712036,0.3811345100402832
r2_gw,0.5184847712516785,0.4750802516937256
r2_gw,0.08218822628259659,0.07004943490028381
r2_gw,0.41664862632751465,0.21997131407260895
r2_gw,0.857511043548584,0.5568386316299438
r2_gw,0.613728404045105,0.19009952247142792
r2_gw,0.5146337151527405,0.6165263652801514
r2_gw,0.3226015269756317,0.20838913321495056
r2_gw,0.4903658330440521,0.44150614738464355
r2_gw,0.7680982947349548,0.4594016671180725
r2_gw,0.7631881833076477,0.7810121178627014
r2_gw,0.8857820630073547,0.694459855556488
r2_gw,0.47643494606018066,0.4147057831287384
r2_gw,0.06788448244333267,0.046984270215034485
r2_gw,0.994734525680542,0.7415692806243896
r2_gw,0.9342292547225952,0.6137042045593262
