model,step,objective,reconstruction,distance_squared
s2_recon,700.0,0.0010708118788897991,0.0010708118788897991,0.00026373154832981527
s2_recon,750.0,0.0010228876490145922,0.0010228876490145922,0.00023611697542946786
s2_recon,800.0,0.0009591164416633546,0.0009591164416633546,0.00023148277250584215
s2_recon,850.0,0.000949197739828378,0.000949197739828378,0.0002144122263416648
s2_recon,900.0,0.0009476564009673893,0.0009476564009673893,0.00019704081933014095
s2_recon,950.0,0.0009244401007890701,0.0009244401007890701,0.00015302380779758096
s2_recon,1000.0,0.0008772853761911392,0.0008772853761911392,0.00019901662017218769
s2_recon,1050.0,0.000900948652997613,0.000900948652997613,0.00015438059926964343
s2_recon,1100.0,0.0008618875872343779,0.0008618875872343779,0.00018138185259886086
s2_recon,1150.0,0.0008325038943439722,0.0008325038943439722,0.0002009977906709537
s2_recon,1200.0,0.0008247566875070333,0.0008247566875070333,0.00018305223784409463
s2_recon,1250.0,0.0008191664819605649,0.0008191664819605649,0.00017592399672139436
s2_recon,1300.0,0.00083306641317904,0.00083306641317904,0.00016020868497435004
s2_recon,1350.0,0.0008082385757006705,0.0008082385757006705,0.00016009209502954036
s2_recon,1400.0,0.0008637424907647073,0.0008637424907647073,0.0001391107653034851
s2_recon,1450.0,0.0007975874468684196,0.0007975874468684196,0.00014680252934340388
s2_recon,1500.0,0.0008069024188444018,0.0008069024188444018,0.00011465251736808568
s2_gw,1.0,0.2077053338289261,0.2077053338289261,0.47051095962524414
s2_gw,50.0,0.08219248801469803,0.08219248801469803,0.4948246479034424
s2_gw,100.0,0.08061671257019043,0.08061671257019043,0.48396241664886475
s2_gw,150.0,0.0673108845949173,0.06452992558479309,0.03033769503235817
s2_gw,200.0,0.04248235747218132,0.0424548014998436,0.00015029666246846318
s2_gw,250.0,0.023655300959944725,0.02363433502614498,7.624116551596671e-05
s2_gw,300.0,0.009076746180653572,0.009060870856046677,4.329578951001167e-05
s2_gw,350.0,0.004815327934920788,0.004808366298675537,1.5189395526249427e-05
s2_gw,400.0,0.0029666239861398935,0.002959161065518856,1.3569136172009166e-05
s2_gw,450.0,0.0024154316633939743,0.0024113389663398266,7.441294201271376e-06
s2_gw,500.0,0.0020173704251646996,0.002013897756114602,6.31388775218511e-06
s2_gw,550.0,0.0017941987607628107,0.0017910649767145514,5.69781741432962e-06
s2_gw,600.0,0.0015870396746322513,0.0015853228978812695,3.121470172118279e-06
s2_gw,650.0,0.0013881460763514042,0.0013863480417057872,3.2690797979739727e-06
s2_gw,700.0,0.0012519656447693706,0.0012504358310252428,2.781465354928514e-06
s2_gw,750.0,0.0011758903274312615,0.001174391363747418,2.7254400265519507e-06
s2_gw,800.0,0.0010958077618852258,0.0010943905217573047,2.576717179181287e-06
s2_gw,850.0,0.0010219934629276395,0.0010207260493189096,2.3042841803544434e-06
s2_gw,900.0,0.0009858794510364532,0.0009845192544162273,2.4731000394240255e-06
s2_gw,950.0,0.0009716531494632363,0.0009702602401375771,2.5325416572741233e-06
s2_gw,1000.0,0.000892557785846293,0.000891420291736722,2.068174126179656e-06
s2_gw,1050.0,0.000927523011341691,0.0009266671841032803,1.556080974296492e-06
s2_gw,1100.0,0.0008478199597448111,0.0008468125015497208,1.8316904970561154e-06
s2_gw,1150.0,0.0008692695409990847,0.0008683833875693381,1.6111514469230315e-06
s2_gw,1200.0,0.0008263420895673335,0.0008255622815340757,1.4178640412865207e-06
s2_gw,1250.0,0.0008243460906669497,0.0008235164568759501,1.508410264250415e-06
s2_gw,1300.0,0.0008004996925592422,0.0007997869397513568,1.2959312698512804e-06
s2_gw,1350.0,0.0008220672607421875,0.0008213341934606433,1.3328190107131377e-06
s2_gw,1400.0,0.0008118421537801623,0.0008111157221719623,1.3207335314291413e-06
s2_gw,1450.0,0.0007739180000498891,0.0007730526849627495,1.573311010361067e-06
s2_gw,1500.0,0.0007999431109055877,0.0007993043982423842,1.1613315109570976e-06
