K,W2_upper,K_inverse_reference
4,0.313923104331,0.30893717431
8,0.158534584422,0.154468587155
16,0.0787435862262,0.0772342935774
32,0.0391581090477,0.0386171467887
64,0.0193085733944,0.0193085733944
128,0.00956953287781,0.00965428669718
256,0.00479993575625,0.00482714334859
