step,training_loss_ema,validation_loss
0,,2.466121122
100,1.694718607,1.363784906
200,1.362479986,1.346205068
300,1.292955371,1.347341188
400,1.286053325,1.316822452
500,1.295019499,1.31313484
600,1.28132659,1.291703771
700,1.260438349,1.279088141
800,1.251092432,1.284858652
900,1.24789376,1.275572966
1000,1.255189298,1.257363172
1100,1.233348984,1.2552254
1200,1.253463288,1.24403468
1300,1.218517238,1.233515016
1400,1.23986678,1.220950168
1500,1.209345448,1.217676403
1600,1.162501812,1.207704533
1700,1.18883445,1.200496717
1800,1.166182665,1.187545561
1900,1.170232541,1.174007434
2000,1.178752091,1.176700957
2100,1.167042293,1.161896535
2200,1.118436203,1.153093322
2300,1.167740521,1.151794995
2400,1.122286521,1.14505925
2500,1.120308875,1.135763851
2600,1.10311126,1.133119413
2700,1.09549845,1.126084077
2800,1.132644795,1.123749056
2900,1.103699815,1.124099581
3000,1.107345132,1.115138703
3100,1.116163826,1.112141606
3200,1.087856698,1.103827845
3300,1.10735948,1.113061087
3400,1.097402397,1.10412662
3500,1.088889715,1.095898751
3600,1.097449207,1.089613976
3700,1.089796214,1.091456189
3800,1.05553568,1.086966172
3900,1.062031877,1.08159316
4000,1.055153477,1.082478095
4100,1.096794008,1.081069981
4200,1.072053384,1.076856311
4300,1.057842143,1.078554735
4400,1.061835534,1.072425506
4500,1.066854311,1.069700054
4600,1.045547631,1.06546779
4700,1.080697063,1.068887701
4800,1.058093727,1.068915679
4900,1.041751045,1.06419673
5000,1.059608215,1.064099014
5100,1.052827156,1.061548514
5200,1.074851663,1.060289117
5300,1.054652967,1.061398673
5400,1.032050065,1.061382817
5500,1.049579273,1.05946681
5600,1.062523567,1.056992934
5700,1.054149265,1.060113295
5800,1.057812216,1.058794583
5900,1.042128985,1.058534605
6000,1.032278805,1.05509704
