model,label,test_nll,test_nll_std,parameter_rmse,parameter_rmse_std,metric_relative_error,metric_relative_error_std,metric_relative_median,metric_relative_median_std,curvature_mae,curvature_mae_std,curvature_median_ae,curvature_median_ae_std,geodesic_rmse,geodesic_rmse_std,global_w2_rmse,global_w2_rmse_std,flat_rmse,flat_rmse_std,surface_rmse,surface_rmse_std
oracle,Oracle decoder,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014800572985328931,0.0007534479357938166,0.3580788190888705,0.009559117719106846,0.8541592398867234,0.03515717256287973,2.8521566584220313e-15,0.0
tanh,Tanh (smooth),0.0708074521941366,0.002825241856720957,0.012256986810551564,0.0014569389510302182,0.07505529824726631,0.007909714795924578,0.06851172790171008,0.010171042943516383,0.1396279654229271,0.015900717686879482,0.10718381518757632,0.01676669177072503,0.021283889335563855,0.00265790130740226,0.3619326689896657,0.012550116573377209,0.8541592398867234,0.03515717256287973,0.02096572070453755,0.002481278464016857
softplus,Softplus (smooth),0.07087774784340795,0.0028202595474256117,0.01604513391513181,0.0015421153752051674,0.08779183317280137,0.012625909067917896,0.07611827127899892,0.009134199350220876,0.25998493514512233,0.07617746849803153,0.16456010346850555,0.04959477276438439,0.028675487729686477,0.004099781493656865,0.35753202515879406,0.011193852225203771,0.8541592398867234,0.03515717256287973,0.025453437317126747,0.004446366128510312
relu,ReLU (piecewise affine),0.07150019457363019,0.0030069650275381357,0.01994612683682022,0.001809352330937897,0.3220825209813654,0.01980916185463129,0.2762341444443842,0.018791450435154077,1.0,0.0,1.0,0.0,0.04153852504641707,0.008306235586307612,0.3617999260928086,0.015913995670016407,0.8541592398867234,0.03515717256287973,0.03598897147618624,0.002259094246036765
